native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
6832,32,3831,7622
6833,32,3963,7622
6834,32,4096,7622
6835,32,4226,7622
6835,32,4359,7622
6836,32,4491,7622
6832,32,3617,7622
6834,32,3750,7622
6834,32,3882,7622
6835,32,4012,7626
6836,32,4147,7626
6837,32,4279,7626
6837,32,4414,7626
6833,32,3531,7626
6834,32,3665,7626
6835,32,3798,7626
6836,32,3933,7626
6837,32,4065,7630
6837,32,4198,7630
6839,32,4354,7630
6839,32,4490,7630
6836,32,3618,7634
6837,32,3750,7634
6837,32,3884,7634
6838,32,4014,7634
6839,32,4175,7638
6840,32,4306,7638
6841,32,4440,7638
6837,32,3525,7638
6837,32,3662,7638
6838,32,3793,7638
6839,32,3928,7638
6840,32,4083,7638
6841,32,4216,7638
6842,32,4348,7638
6842,32,4479,7638
6838,32,3588,7642
6839,32,3723,7642
6840,32,3878,7646
6841,32,4012,7646
6842,32,4143,7646
6843,32,4275,7646
6843,32,4407,7646
6844,32,4542,7646
6840,32,3642,7646
6841,32,3801,7646
6842,32,3932,7646
6843,32,4063,7646
6844,32,4194,7646
6844,32,4330,7646
6845,32,4463,7646
6841,32,3585,7646
6842,32,3718,7650
6843,32,3851,7650
6844,32,3983,7650
6845,32,4115,7650
6846,32,4251,7650
6847,32,4407,7650
6847,32,4538,7650
6843,32,3638,7650
6844,32,3766,7650
6845,32,3901,7650
6845,32,4034,7650
6846,32,4192,7650
6847,32,4324,7654
6848,32,4457,7654
6844,32,3552,7654
6845,32,3684,7654
6846,32,3819,7654
6846,32,3951,7654
6852,32,4108,7658
6852,32,4242,7658
6853,32,4370,7658
6854,32,4502,7658
6850,32,3592,7658
6850,32,3726,7658
6851,32,3883,7658
6852,32,4017,7658
6853,32,4149,7658
6854,32,4280,7658
6855,32,4412,7658
6855,32,3516,7658
6851,32,3649,7658
6852,32,3807,7658
6853,32,3939,7658
6854,32,4070,7658
6855,32,4202,7658
6856,32,4337,7658
6856,32,4470,7658
6853,32,3605,7658
6853,32,3738,7662
6854,32,3870,7662
6855,32,3999,7662
6856,32,4132,7662
6856,32,4268,7662
6858,32,4425,7662
6853,32,3515,7662
6854,32,3650,7662
6855,32,3779,7662
6855,32,3913,7662
6856,32,4047,7662
6857,32,4179,7662
6858,32,4337,7662
6859,32,4469,7662
6855,32,3576,7662
6856,32,3708,7662
6856,32,3844,7662
6857,32,3975,7662
6858,32,4131,7662
6859,32,4267,7662
6860,32,4397,7662
6860,32,4527,7662
6856,32,3626,7666
6857,32,3761,7666
6858,32,3916,7666
6859,32,4050,7666
6860,32,4182,7666
6861,32,4313,7666
6862,32,4445,7670
6857,32,3544,7670
6858,32,3679,7670
6859,32,3838,7670
6860,32,3969,7670
6861,32,4100,7670
6862,32,4235,7670
6862,32,4367,7674
6863,32,4504,7674
6859,32,3614,7674
6860,32,3751,7674
6861,32,3880,7674
6861,32,4015,7674
6862,32,4147,7674
6863,32,4280,7678
6864,32,4436,7678
6860,32,3552,7678
6861,32,3681,7678
6862,32,3812,7678
6878,32,3946,7678
6879,32,4081,7678
6880,32,4237,7678
6881,32,4371,7678
6882,32,4503,7678
6877,32,3590,7678
6878,32,3723,7678
6879,32,3858,7678
6880,32,3990,7678
6881,32,4149,7682
6881,32,4280,7682
6882,32,4411,7682
6880,32,3518,7682
6879,32,3652,7682
6880,32,3786,7682
6881,32,3942,7682
6881,32,4076,7686
6882,32,4207,7686
6883,32,4339,7686
6884,32,4472,7686
6880,32,3585,7686
6881,32,3742,7686
6882,32,3872,7686
6882,32,4006,7686
6883,32,4135,7686
6884,32,4269,7686
6885,32,4403,7686
6881,32,3519,7690
6882,32,3650,7690
6882,32,3785,7690
6883,32,3913,7690
6884,32,4048,7690
6885,32,4179,7690
6886,32,4315,7690
6887,32,4470,7690
6883,32,3585,7690
6883,32,3713,7690
6884,32,3847,7690
6885,32,3980,7690
6886,32,4113,7690
6887,32,4269,7690
6888,32,4406,7690
6888,32,4535,7690
6884,32,3634,7690
6885,32,3768,7690
6886,32,3901,7690
6887,32,4058,7690
6888,32,4193,7690
6888,32,4324,7690
6889,32,4454,7694
6885,32,3553,7694
6886,32,3687,7694
6887,32,3822,7694
6888,32,3976,7694
6889,32,4110,7694
6889,32,4239,7694
6890,32,4371,7694
6891,32,4503,7694
6886,32,3594,7694
6888,32,3751,7694
6888,32,3882,7694
6889,32,4016,7694
6890,32,4145,7694
6891,32,4278,7694
6891,32,4413,7694
6887,32,3515,7694
6888,32,3675,7694
6889,32,3806,7694
6890,32,3938,7694
6891,32,4071,7694
6891,32,4204,7694
6892,32,4337,7694
6893,32,4495,7694
6889,32,3604,7694
6890,32,3736,7694
6891,32,3864,7694
6892,32,3999,7694
6892,32,4135,7694
6893,32,4290,7694
6894,32,4424,7694
6895,32,3517,7698
6891,32,3647,7698
6892,32,3780,7698
6893,32,3916,7698
6894,32,4073,7698
6894,32,4206,7698
6895,32,4338,7698
6896,32,4469,7698
6892,32,3580,7698
6893,32,3713,7698
6893,32,3846,7698
6894,32,4003,7698
6895,32,4137,7698
6896,32,4266,7698
6897,32,4396,7698
6897,32,4530,7698
6893,32,3631,7698
6894,32,3786,7698
6895,32,3920,7698
