native_pss,native_shared_dirty,native_private_dirty,native_heap_size,native_heap_alloc,native_heap_free,dalvik_pss,dalvik_shared_dirty,dalvik_private_dirty,dalvik_heap_size,dalvik_heap_alloc,dalvik_heap_free,stack_pss,stack_shared_dirty,stack_private_dirty,cursor_pss,cursor_shared_dirty,cursor_private_dirty,ashmem_pss,ashmem_shared_dirty,ashmem_private_dirty,other_dev_pss,other_dev_shared_dirty,other_dev_private_dirty,so_mmap_pss,so_mmap_shared_dirty,so_mmap_private_dirty,jar_mmap_pss,jar_mmap_shared_dirty,jar_mmap_private_dirty,apk_mmap_pss,apk_mmap_shared_dirty,apk_mmap_private_dirty,ttf_mmap_pss,ttf_mmap_shared_dirty,ttf_mmap_private_dirty,dex_mmap_pss,dex_mmap_shared_dirty,dex_mmap_private_dirty,other_mmap_pss,other_mmap_shared_dirty,other_mmap_private_dirty,unknown_pss,unknown_shared_dirty,unknown_private_dirty,TOTAL_pss,TOTAL_shared_dirty,TOTAL_private_dirty,TOTAL_heap_size,TOTAL_heap_alloc,TOTAL_heap_free
32,8,32,6864,6833,30,7622,992,7600,5768,3892,1876,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,10725,1906
32,8,32,6864,6833,30,7622,992,7600,5768,4024,1744,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,10857,1774
32,8,32,6864,6834,29,7622,992,7600,5768,4157,1611,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,10991,1640
32,8,32,6864,6835,28,7622,992,7600,5768,4285,1483,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,11120,1511
32,8,32,6864,6836,27,7622,992,7600,5768,4418,1350,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,11254,1377
32,8,32,6864,6832,31,7622,992,7600,5768,3521,2247,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,10353,2278
32,8,32,6864,6833,30,7622,992,7600,5768,3677,2091,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,10510,2121
32,8,32,6864,6834,29,7622,992,7600,5768,3811,1957,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15323,2136,11936,12632,10645,1986
32,8,32,6864,6835,28,7626,992,7604,5768,3942,1826,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,10777,1854
32,8,32,6864,6835,28,7626,992,7604,5768,4074,1694,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,10909,1722
32,8,32,6864,6836,27,7626,992,7604,5768,4206,1562,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,11042,1589
32,8,32,6864,6837,26,7626,992,7604,5768,4342,1426,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,11179,1452
32,8,32,6864,6838,25,7626,992,7604,5768,4474,1294,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,11312,1319
32,8,32,6864,6834,29,7626,992,7604,5768,3595,2173,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,10429,2202
32,8,32,6864,6835,28,7626,992,7604,5768,3726,2042,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,10561,2070
32,8,32,6864,6835,28,7626,992,7604,5768,3858,1910,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,10693,1938
32,8,32,6864,6836,27,7626,992,7604,5768,3994,1774,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15327,2136,11940,12632,10830,1801
32,8,32,6864,6837,26,7630,992,7608,5768,4124,1644,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15331,2136,11944,12632,10961,1670
32,8,32,6864,6838,25,7630,992,7608,5768,4261,1507,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15331,2136,11944,12632,11099,1532
32,8,32,6864,6839,24,7630,992,7608,5768,4415,1353,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15331,2136,11944,12632,11254,1377
32,8,32,6864,6835,28,7634,988,7612,5768,3547,2221,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15335,2132,11948,12632,10382,2249
32,8,32,6864,6836,27,7634,988,7612,5768,3680,2088,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15335,2132,11948,12632,10516,2115
32,8,32,6864,6837,26,7634,988,7612,5768,3810,1958,48,0,48,0,0,0,2,4,0,4,32,0,3539,1028,2440,0,0,0,88,0,0,2,0,0,2174,0,16,20,8,8,1792,64,1792,15335,2132,11948,12632,10647,1984
