pcm,套件,引擎
SceneId-8/挂断/挂断郊区开窗/M003_挂断_008.wav,135,127
SceneId-8/挂断/挂断市区半开窗/F001_挂断_008.wav,119,76
SceneId-8/接听/接听市区半开窗/F004_接听_007.wav,89,84
SceneId-8/接听/接听郊区开窗/M003_接听_007.wav,148,150
SceneId-8/挂断/挂断高架中档/F002_挂断_006.wav,142,143
SceneId-8/挂断/挂断高架中档/F003_挂断_005.wav,51,60
SceneId-8/挂断/挂断郊区开窗/M002_挂断_010.wav,62,51
SceneId-8/挂断/挂断市区半开窗/M002_挂断_015.wav,111,120
SceneId-8/挂断/挂断市区半开窗/F002_挂断_003.wav,74,76
SceneId-8/挂断/挂断郊区开窗/M003_挂断_012.wav,73,84
SceneId-8/接听/接听市区半开窗/M002_接听_014.wav,104,None
SceneId-8/挂断/挂断郊区开窗/M004_挂断_009.wav,None,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M001_挂断_003.wav,None,88
SceneId-8/接听/接听郊区开窗/M001_接听_007.wav,None,183
SceneId-8/挂断/挂断市区半开窗/M004_挂断_010.wav,109,92
SceneId-8/X3/M103_149.wav,113,112
SceneId-8/挂断/挂断高架中档/F005_挂断_006.wav,227,222
SceneId-8/挂断/挂断高架中档/F001_挂断_014.wav,59,77
SceneId-8/挂断/挂断市区半开窗/F002_挂断_011.wav,82,94
SceneId-8/挂断/挂断市区半开窗/F003_挂断_005.wav,74,59
SceneId-8/接听/接听市区半开窗/F004_接听_014.wav,183,178
SceneId-8/挂断/挂断高架中档/M003_挂断_011.wav,119,130
SceneId-8/接听/接听郊区开窗/F002_接听_005.wav,201,引擎未测试
SceneId-8/挂断/挂断高架中档/M003_挂断_001.wav,167,166
SceneId-8/挂断/挂断市区半开窗/F005_挂断_001.wav,87,68
SceneId-8/挂断/挂断市区半开窗/M003_挂断_014.wav,72,64
SceneId-8/接听/接听郊区开窗/M004_接听_006.wav,184,182
SceneId-8/挂断/挂断郊区开窗/M003_挂断_001.wav,110,140
SceneId-8/挂断/挂断郊区开窗/M003_挂断_005.wav,139,129
