loadRes_time,srh_time,srh ret,text
162,13,0,"(field=Album,query=岳云鹏相声集,fuzzy=1,searchType=SR)"
108,12,0,"(field=Album,query=Neon Genesis Evangelion S2 Works,fuzzy=1,searchType=SR)"
106,12,0,"(field=Album,query=岳云鹏相声集,fuzzy=1,searchType=SR)"
107,7,0,"(field=Album,query=遇上爱,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=遇上爱,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=Xscape (Deluxe),fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=18...台湾版,fuzzy=1,searchType=SR)"
105,31,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
108,40,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
105,19,0,"(field=Album,query=Alejandro,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=Goodbye Lullaby (Deluxe Edition),fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=Waking Up,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=Waking Up,fuzzy=1,searchType=SR)"
107,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
106,6,0,"(field=Album,query=JJ陆,fuzzy=1,searchType=SR)"
106,8,0,"(field=Album,query=25周年精选,fuzzy=1,searchType=SR)"
105,20,0,"(field=Album,query=World Of Our Own,fuzzy=1,searchType=SR)"
105,26,0,"(field=Album,query=Music From The City Of Angels Motion Picture Soundtrack,fuzzy=1,searchType=SR)"
105,35,0,"(field=Album,query=Animals,fuzzy=1,searchType=SR)"
106,16,0,"(field=Album,query=2011年震撼现场精选合辑(上),fuzzy=1,searchType=SR)"
105,39,0,"(field=Album,query=Applause,fuzzy=1,searchType=SR)"
105,24,0,"(field=Album,query=I'M In The Mood For Love ... The Most Romantic Melodies Of All Time,fuzzy=1,searchType=SR)"
106,8,0,"(field=Album,query=Hot In Ibiza-Sunset,fuzzy=1,searchType=SR)"
105,15,0,"(field=Album,query=My Worlds,fuzzy=1,searchType=SR)"
107,17,0,"(field=Album,query=This Is The Sound Of...2010,fuzzy=1,searchType=SR)"
106,39,0,"(field=Album,query=Baby Boy,fuzzy=1,searchType=SR)"
