loadRes_time,srh_time,srh ret,text
4469,58,0,"(field=Album,query=岳云鹏相声集,fuzzy=1,searchType=SR)"
2382,52,0,"(field=Album,query=Neon Genesis Evangelion S2 Works,fuzzy=1,searchType=SR)"
2342,57,0,"(field=Album,query=岳云鹏相声集,fuzzy=1,searchType=SR)"
2343,40,0,"(field=Album,query=遇上爱,fuzzy=1,searchType=SR)"
2336,43,0,"(field=Album,query=遇上爱,fuzzy=1,searchType=SR)"
2337,46,0,"(field=Album,query=Xscape (Deluxe),fuzzy=1,searchType=SR)"
2350,38,0,"(field=Album,query=18...台湾版,fuzzy=1,searchType=SR)"
2338,125,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
2355,160,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
2359,87,0,"(field=Album,query=Alejandro,fuzzy=1,searchType=SR)"
2354,46,0,"(field=Album,query=Goodbye Lullaby (Deluxe Edition),fuzzy=1,searchType=SR)"
2341,58,0,"(field=Album,query=Waking Up,fuzzy=1,searchType=SR)"
2344,58,0,"(field=Album,query=Waking Up,fuzzy=1,searchType=SR)"
2356,21,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
2335,36,0,"(field=Album,query=JJ陆,fuzzy=1,searchType=SR)"
2366,45,0,"(field=Album,query=25周年精选,fuzzy=1,searchType=SR)"
2369,87,0,"(field=Album,query=World Of Our Own,fuzzy=1,searchType=SR)"
2362,109,0,"(field=Album,query=Music From The City Of Angels Motion Picture Soundtrack,fuzzy=1,searchType=SR)"
2350,147,0,"(field=Album,query=Animals,fuzzy=1,searchType=SR)"
2350,70,0,"(field=Album,query=2011年震撼现场精选合辑(上),fuzzy=1,searchType=SR)"
2374,156,0,"(field=Album,query=Applause,fuzzy=1,searchType=SR)"
2360,103,0,"(field=Album,query=I'M In The Mood For Love ... The Most Romantic Melodies Of All Time,fuzzy=1,searchType=SR)"
2351,44,0,"(field=Album,query=Hot In Ibiza-Sunset,fuzzy=1,searchType=SR)"
2343,70,0,"(field=Album,query=My Worlds,fuzzy=1,searchType=SR)"
2327,70,0,"(field=Album,query=This Is The Sound Of...2010,fuzzy=1,searchType=SR)"
2352,156,0,"(field=Album,query=Baby Boy,fuzzy=1,searchType=SR)"
2381,70,0,"(field=Album,query=Speak Now,fuzzy=1,searchType=SR)"
2341,98,0,"(field=Album,query=King Of Pop,fuzzy=1,searchType=SR)"
2336,152,0,"(field=Album,query=The Fame,fuzzy=1,searchType=SR)"
