录音,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,结果来源,error_code,ISR_Result,Confidence_score,Result,vadSpeechStart,vadSpeechEnd,endVadType
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_007_M098_coder.wav.pcm,1484277187570,1484277190352,1484277190162,1484277191565,MSG_Result,1403,本地,0,"从庐阳区寿春路与桥到泾阳。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7333,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""area"":""泾阳县"",""areaAddr"":""泾阳"",""ori_loc"":""泾阳"",""type"":""LOC_BASIC""},""startLoc"":{""area"":""庐阳区"",""areaAddr"":""庐阳"",""city"":""CURRENT_CITY"",""ori_loc"":""庐阳区寿春路与桥"",""poi"":""与桥"",""street"":""寿春路"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从庐阳区寿春路与桥到泾阳。"",""version"":""3.5.0.1190""}
",280,3140,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_014_M099_coder.wav.pcm,1484277192715,1484277194574,1484277194348,1484277196004,MSG_Result,1656,本地,0,"我这里到中南路。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""中南路"",""street"":""中南路"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我这里到中南路。"",""version"":""3.5.0.1190""}
",340,2060,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_021_M101_coder.wav.pcm,1484277197136,1484277198560,1484277198521,1484277199273,MSG_Result,752,本地,0,"从我这里怎么去龙泉路。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""龙泉路"",""street"":""龙泉路"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从我这里怎么去龙泉路。"",""version"":""3.5.0.1190""}
",340,1980,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_028_M102_coder.wav.pcm,1484277200399,1484277204028,1484277203981,1484277204432,MSG_Result,451,本地,0,"从这里到三和汽车修理有限公司如何去。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5294,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""三和汽车修理有限公司"",""poi"":""三和汽车修理有限公司"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里到三和汽车修理有限公司如何去。"",""version"":""3.5.0.1190""}
",340,4390,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_035_M071_coder.wav.pcm,1484277205583,1484277209791,1484277209776,1484277210192,MSG_Result,416,本地,0,"从这里到徽商银行三里庵支行atm怎么去。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.4947,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""徽商银行三里庵支行atm"",""poi"":""徽商银行三里庵支行atm"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里到徽商银行三里庵支行atm怎么去。"",""version"":""3.5.0.1190""}
",340,4800,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_042_M073_coder.wav.pcm,1484277211352,1484277214484,1484277214471,1484277214923,MSG_Result,452,本地,0,"从这里去九龙路和翠微路交叉路口如何去。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.9111,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""九龙路和翠微路交叉路口"",""street"":""九龙路"",""streets"":""翠微路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里去九龙路和翠微路交叉路口如何去。"",""version"":""3.5.0.1190""}
",380,3760,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_049_M074_coder.wav.pcm,1484277216102,1484277219019,1484277218984,1484277219441,MSG_Result,457,本地,0,"从这里去福州市军川大道怎么去。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8857,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""福州市"",""cityAddr"":""福州"",""ori_loc"":""福州市军川大道"",""street"":""军川大道"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里去福州市军川大道怎么去。"",""version"":""3.5.0.1190""}
",360,3520,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_056_M048_coder.wav.pcm,1484277220610,1484277222316,1484277222201,1484277222953,MSG_Result,752,本地,0,"从这里如何到坝上街。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""坝上街"",""street"":""坝上街"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里如何到坝上街。"",""version"":""3.5.0.1190""}
",360,2220,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_063_M049_coder.wav.pcm,1484277224107,1484277228957,1484277228901,1484277229753,MSG_Result,852,本地,0,"从这里导航到四川省攀枝花市米易县义县服务区。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8095,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""area"":""米易县"",""areaAddr"":""米易"",""city"":""攀枝花市"",""cityAddr"":""攀枝花"",""ori_loc"":""四川省攀枝花市米易县义县服务区"",""poi"":""义县服务区"",""province"":""四川省"",""provinceAddr"":""四川"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里导航到四川省攀枝花市米易县义县服务区。"",""version"":""3.5.0.1190""}
",360,5420,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_070_M050_coder.wav.pcm,1484277230923,1484277232560,1484277232464,1484277233417,MSG_Result,953,本地,0,"从这里怎么去和省道上。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.84,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""和省道"",""street"":""和省道"",""type"":""LOC_STREET""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里怎么去和省道上。"",""version"":""3.5.0.1190""}
",400,2220,endAudioData
/mnt/sdcard/pcm/800_Enc_NoWavHead/10map_route/10map_route_077_M105_coder.wav.pcm,1484277234575,1484277237403,1484277237318,1484277237819,MSG_Result,501,本地,0,"从这里怎么到南环路新民超市。",0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6308,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""南环路新民超市"",""poi"":""新民超市"",""street"":""南环路"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""从这里怎么到南环路新民超市。"",""version"":""3.5.0.1190""}
",360,3610,endAudioData
