å½•éŸ³,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/fs/usb0/PcmRes/isr/English/Album/00000001_code.pcm,4214861848,2262,4214862632,2579,4214864128,4214865799,MSG_Result,1671,1,0,play album all the moon star burns ¡£,4,0,"{""bislocalresult"":""1"",""nlocalconfidencescore"":""0"",""rc"":4,""text"":""play album all the moon star burns ¡£""}
"
/fs/usb0/PcmRes/isr/English/Album/00000002_code.pcm,4214865929,1907,4214866715,2105,4214867858,4214869173,MSG_Result,1315,1,0,play album back on top ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""back on top""}},""service"":""music"",""text"":""play album back on top ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000003_code.pcm,4214869434,2226,4214870218,2332,4214871679,4214872992,MSG_Result,1313,1,0,play album beautiful offerings ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""beautiful offerings""}},""service"":""music"",""text"":""play album beautiful offerings ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000004_code.pcm,4214873135,1966,4214873918,2156,4214875120,4214876115,MSG_Result,995,1,0,play album burning bridges ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""burning bridges""}},""service"":""music"",""text"":""play album burning bridges ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000005_code.pcm,4214876351,1773,4214877138,2064,4214878146,4214879548,MSG_Result,1402,1,0,play album bottom feeder ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""bottom feeder""}},""service"":""music"",""text"":""play album bottom feeder ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000006_code.pcm,4214879773,1575,4214880556,1741,4214881373,4214882429,MSG_Result,1056,1,0,play album emotion ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""emotion""}},""service"":""music"",""text"":""play album emotion ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000007_code.pcm,4214882592,2068,4214883380,2410,4214884679,4214885863,MSG_Result,1184,1,0,play album had for the stars ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":"""",""pk_score"":0.2,""rc"":0,""semantic"":{""slots"":{""name"":""had for""}},""service"":""contacts"",""text"":""play album had for the stars ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000008_code.pcm,4214886137,1453,4214886924,1646,4214887604,4214888803,MSG_Result,1199,1,0,play album i am ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""i am""}},""service"":""music"",""text"":""play album i am ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000009_code.pcm,4214888988,2337,4214889771,2422,4214891356,4214892790,MSG_Result,1434,1,0,play album i cry when i laugh ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""i cry when i laugh""}},""service"":""music"",""text"":""play album i cry when i laugh ¡£"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/English/Album/00000010_code.pcm,4214893004,1880,4214893865,1980,4214894901,4214895744,MSG_Result,843,1,0,play album last dance ¡£,0,0,"{""bislocalresult"":""1"",""language"":""en_us"",""nlocalconfidencescore"":""0"",""operation"":""PLAY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""album"":""last dance""}},""service"":""music"",""text"":""play album last dance ¡£"",""version"":""3.5.0.1190""}
"
