列表,业务,云端标注,本地标注,云端&本地结果对比,是否集内,是否800条,业务名,标注结果,标注操作
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_007_M098_coder.wav.pcm,map,从庐阳区寿春路桥到青阳路,从庐阳区寿春路桥到青阳路,TRUE,0,是,map,"{
 ""startLoc"":{
  ""area"":""庐阳区"",
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""庐阳区寿春路桥"",
  ""areaAddr"":""庐阳"",
  ""poi"":""寿春路桥"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""青阳路"",
  ""ori_loc"":""青阳路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_014_M099_coder.wav.pcm,map,从我这里到青鸾路怎么去,从我这里到青鸾路怎么去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""青鸾路"",
  ""ori_loc"":""青鸾路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_021_M101_coder.wav.pcm,map,从我这里怎么去龙泉路,从我这里怎么去龙泉路,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""龙泉路"",
  ""ori_loc"":""龙泉路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_028_M102_coder.wav.pcm,map,从这里到三和汽车修理有限公司如何去,从这里到三和汽车修理有限公司如何去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""三和汽车修理有限公司"",
  ""poi"":""三和汽车修理有限公司"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_035_M071_coder.wav.pcm,map,从这里到徽商银行三里庵支行atm怎么去,从这里到徽商银行三里庵支行atm怎么去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""徽商银行三里庵支行atm"",
  ""poi"":""徽商银行三里庵支行atm"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_042_M073_coder.wav.pcm,map,从这里去九龙路和翠微路交叉路口如何去,从这里去九龙路和翠微路交叉路口如何去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""streets"":""翠微路"",
  ""city"":""CURRENT_CITY"",
  ""street"":""九龙路"",
  ""ori_loc"":""九龙路和翠微路交叉路口"",
  ""type"":""LOC_CROSS""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_049_M074_coder.wav.pcm,map,从这里去抚州市京川大道怎么去,从这里去抚州市京川大道怎么去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""抚州"",
  ""city"":""抚州市"",
  ""street"":""京川大道"",
  ""ori_loc"":""抚州市京川大道"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_056_M048_coder.wav.pcm,map,从这里如何到坝上街,从这里如何到坝上街,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""坝上街"",
  ""ori_loc"":""坝上街"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_063_M049_coder.wav.pcm,map,从这里导航到四川省攀枝花市米易县米易县农牧局,从这里导航到四川省攀枝花市米易县米易县农牧局,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""米易县"",
  ""cityAddr"":""攀枝花"",
  ""province"":""四川省"",
  ""city"":""攀枝花市"",
  ""ori_loc"":""四川省攀枝花市米易县米易县农牧局"",
  ""areaAddr"":""米易"",
  ""provinceAddr"":""四川"",
  ""poi"":""米易县农牧局"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_070_M050_coder.wav.pcm,map,从这里怎么去和信大厦,从这里怎么去和信大厦,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""和信大厦"",
  ""poi"":""和信大厦"",
  ""type"":""LOC_POI""
 }
}",ROUTE
