sr_time:1974, nlu_time:156, sum_time:2139
sr_time:1521, nlu_time:98, sum_time:1624
sr_time:447, nlu_time:119, sum_time:572
sr_time:295, nlu_time:152, sum_time:453
sr_time:581, nlu_time:246, sum_time:833
sr_time:251, nlu_time:180, sum_time:438
sr_time:240, nlu_time:147, sum_time:392
sr_time:461, nlu_time:108, sum_time:576
sr_time:510, nlu_time:219, sum_time:738
sr_time:675, nlu_time:114, sum_time:796
sr_time:262, nlu_time:140, sum_time:409
sr_time:279, nlu_time:122, sum_time:407
sr_time:174, nlu_time:161, sum_time:341
sr_time:199, nlu_time:78, sum_time:283
sr_time:218, nlu_time:125, sum_time:353
sr_time:480, nlu_time:94, sum_time:581
sr_time:223, nlu_time:117, sum_time:346
sr_time:325, nlu_time:80, sum_time:411
sr_time:191, nlu_time:134, sum_time:333
sr_time:468, nlu_time:60, sum_time:534
sr_time:163, nlu_time:110, sum_time:279
sr_time:720, nlu_time:147, sum_time:872
sr_time:307, nlu_time:138, sum_time:452
sr_time:326, nlu_time:214, sum_time:546
sr_time:186, nlu_time:177, sum_time:370
sr_time:435, nlu_time:69, sum_time:511
sr_time:690, nlu_time:83, sum_time:781
sr_time:154, nlu_time:181, sum_time:341
sr_time:254, nlu_time:120, sum_time:381
sr_time:280, nlu_time:304, sum_time:591
sr_time:252, nlu_time:200, sum_time:458
sr_time:235, nlu_time:178, sum_time:419
sr_time:203, nlu_time:175, sum_time:384
sr_time:197, nlu_time:190, sum_time:394
sr_time:154, nlu_time:141, sum_time:300
sr_time:169, nlu_time:137, sum_time:314
sr_time:337, nlu_time:117, sum_time:459
sr_time:191, nlu_time:135, sum_time:332
sr_time:184, nlu_time:144, sum_time:335
sr_time:219, nlu_time:132, sum_time:357
sr_time:241, nlu_time:165, sum_time:413
sr_time:382, nlu_time:119, sum_time:507
sr_time:307, nlu_time:128, sum_time:442
sr_time:485, nlu_time:107, sum_time:598
sr_time:166, nlu_time:115, sum_time:287
sr_time:159, nlu_time:159, sum_time:323
sr_time:188, nlu_time:167, sum_time:362
sr_time:173, nlu_time:119, sum_time:298
sr_time:436, nlu_time:149, sum_time:591
sr_time:283, nlu_time:199, sum_time:489
sr_time:630, nlu_time:133, sum_time:769
sr_time:346, nlu_time:107, sum_time:459
sr_time:659, nlu_time:200, sum_time:865
sr_time:270, nlu_time:173, sum_time:450
sr_time:304, nlu_time:166, sum_time:475
sr_time:335, nlu_time:193, sum_time:534
sr_time:193, nlu_time:145, sum_time:344
sr_time:199, nlu_time:118, sum_time:323
sr_time:282, nlu_time:122, sum_time:410
sr_time:242, nlu_time:144, sum_time:391
sr_time:255, nlu_time:155, sum_time:417
sr_time:244, nlu_time:175, sum_time:425
sr_time:503, nlu_time:133, sum_time:642
sr_time:565, nlu_time:126, sum_time:697
sr_time:274, nlu_time:107, sum_time:387
sr_time:270, nlu_time:137, sum_time:413
sr_time:228, nlu_time:135, sum_time:369
sr_time:1234, nlu_time:94, sum_time:1334
sr_time:230, nlu_time:126, sum_time:361
sr_time:444, nlu_time:166, sum_time:615
sr_time:184, nlu_time:84, sum_time:274
sr_time:219, nlu_time:149, sum_time:374
sr_time:225, nlu_time:89, sum_time:320
sr_time:278, nlu_time:153, sum_time:437
sr_time:297, nlu_time:204, sum_time:509
sr_time:241, nlu_time:267, sum_time:515
sr_time:483, nlu_time:131, sum_time:619
sr_time:441, nlu_time:211, sum_time:658
sr_time:173, nlu_time:182, sum_time:362
sr_time:298, nlu_time:184, sum_time:488
sr_time:194, nlu_time:209, sum_time:409
sr_time:168, nlu_time:151, sum_time:325
sr_time:166, nlu_time:124, sum_time:297
sr_time:239, nlu_time:264, sum_time:508
sr_time:245, nlu_time:235, sum_time:486
sr_time:179, nlu_time:155, sum_time:348
sr_time:273, nlu_time:154, sum_time:434
sr_time:274, nlu_time:201, sum_time:481
sr_time:378, nlu_time:146, sum_time:531
sr_time:224, nlu_time:171, sum_time:402
sr_time:219, nlu_time:143, sum_time:370
sr_time:261, nlu_time:114, sum_time:381
sr_time:676, nlu_time:109, sum_time:792
sr_time:307, nlu_time:159, sum_time:471
sr_time:265, nlu_time:236, sum_time:507
sr_time:550, nlu_time:118, sum_time:674
sr_time:228, nlu_time:138, sum_time:373
sr_time:175, nlu_time:207, sum_time:389
sr_time:327, nlu_time:182, sum_time:514
sr_time:306, nlu_time:245, sum_time:558
sr_time:241, nlu_time:195, sum_time:443
sr_time:208, nlu_time:210, sum_time:423
sr_time:214, nlu_time:184, sum_time:403
sr_time:282, nlu_time:208, sum_time:496
sr_time:236, nlu_time:156, sum_time:399
sr_time:293, nlu_time:227, sum_time:526
sr_time:197, nlu_time:183, sum_time:394
sr_time:229, nlu_time:130, sum_time:364
sr_time:556, nlu_time:100, sum_time:662
sr_time:274, nlu_time:103, sum_time:384
sr_time:517, nlu_time:111, sum_time:634
sr_time:1466, nlu_time:104, sum_time:1595
sr_time:488, nlu_time:93, sum_time:587
sr_time:216, nlu_time:115, sum_time:338
sr_time:722, nlu_time:88, sum_time:816
sr_time:671, nlu_time:86, sum_time:762
sr_time:470, nlu_time:77, sum_time:557
sr_time:544, nlu_time:71, sum_time:622
sr_time:199, nlu_time:98, sum_time:303
sr_time:293, nlu_time:122, sum_time:421
sr_time:308, nlu_time:109, sum_time:424
sr_time:303, nlu_time:185, sum_time:498
sr_time:350, nlu_time:172, sum_time:528
sr_time:392, nlu_time:177, sum_time:575
sr_time:218, nlu_time:296, sum_time:520
sr_time:398, nlu_time:176, sum_time:579
sr_time:312, nlu_time:229, sum_time:547
sr_time:477, nlu_time:126, sum_time:614
sr_time:586, nlu_time:120, sum_time:711
sr_time:323, nlu_time:159, sum_time:489
sr_time:418, nlu_time:162, sum_time:586
sr_time:298, nlu_time:167, sum_time:471
sr_time:359, nlu_time:150, sum_time:517
sr_time:498, nlu_time:203, sum_time:707
sr_time:833, nlu_time:117, sum_time:957
sr_time:234, nlu_time:191, sum_time:431
sr_time:820, nlu_time:231, sum_time:1058
sr_time:776, nlu_time:87, sum_time:869
sr_time:1128, nlu_time:71, sum_time:1205
sr_time:455, nlu_time:78, sum_time:538
sr_time:675, nlu_time:93, sum_time:774
sr_time:412, nlu_time:93, sum_time:511
sr_time:576, nlu_time:87, sum_time:669
sr_time:643, nlu_time:76, sum_time:725
sr_time:607, nlu_time:74, sum_time:687
sr_time:301, nlu_time:80, sum_time:387
sr_time:406, nlu_time:65, sum_time:476
sr_time:376, nlu_time:156, sum_time:539
sr_time:349, nlu_time:101, sum_time:455
sr_time:243, nlu_time:184, sum_time:434
sr_time:1327, nlu_time:62, sum_time:1395
sr_time:452, nlu_time:171, sum_time:630
sr_time:407, nlu_time:184, sum_time:598
sr_time:193, nlu_time:103, sum_time:302
sr_time:515, nlu_time:85, sum_time:606
sr_time:218, nlu_time:206, sum_time:430
sr_time:426, nlu_time:92, sum_time:525
sr_time:405, nlu_time:209, sum_time:620
sr_time:655, nlu_time:154, sum_time:814
sr_time:160, nlu_time:105, sum_time:271
sr_time:304, nlu_time:91, sum_time:401
sr_time:342, nlu_time:230, sum_time:578
sr_time:502, nlu_time:64, sum_time:572
sr_time:974, nlu_time:56, sum_time:1038
sr_time:471, nlu_time:109, sum_time:586
sr_time:598, nlu_time:59, sum_time:664
sr_time:260, nlu_time:126, sum_time:393
sr_time:544, nlu_time:136, sum_time:687
sr_time:393, nlu_time:102, sum_time:503
sr_time:330, nlu_time:123, sum_time:460
sr_time:302, nlu_time:175, sum_time:485
sr_time:512, nlu_time:160, sum_time:678
sr_time:287, nlu_time:103, sum_time:397
sr_time:848, nlu_time:76, sum_time:930
sr_time:675, nlu_time:116, sum_time:800
sr_time:783, nlu_time:80, sum_time:870
sr_time:821, nlu_time:193, sum_time:1021
sr_time:787, nlu_time:102, sum_time:895
sr_time:806, nlu_time:100, sum_time:913
sr_time:785, nlu_time:92, sum_time:884
sr_time:528, nlu_time:87, sum_time:621
sr_time:650, nlu_time:81, sum_time:738
sr_time:671, nlu_time:81, sum_time:759
sr_time:336, nlu_time:82, sum_time:425
sr_time:565, nlu_time:77, sum_time:649
sr_time:756, nlu_time:68, sum_time:831
sr_time:783, nlu_time:48, sum_time:842
sr_time:571, nlu_time:96, sum_time:674
sr_time:981, nlu_time:135, sum_time:1122
sr_time:540, nlu_time:138, sum_time:686
sr_time:733, nlu_time:102, sum_time:842
sr_time:622, nlu_time:131, sum_time:761
sr_time:727, nlu_time:135, sum_time:876
sr_time:517, nlu_time:168, sum_time:692
