strAudioPath,pcm_time(UTC ms),sr_result
msc_log_2017-07-04Tue15-46-07.638000.pcm,1499154367638.0,搜索李玉刚的歌曲
msc_log_2017-07-04Tue15-46-12.067000.pcm,1499154372067.0,换个新贵妃醉酒
msc_log_2017-07-04Tue15-46-16.476000.pcm,1499154376476.0,不要李玉刚唱的
msc_log_2017-07-04Tue15-46-20.584000.pcm,1499154380584.0,换他唱的别的歌
msc_log_2017-07-04Tue15-46-24.814000.pcm,1499154384814.0,我想点一首尚雯婕的歌
msc_log_2017-07-04Tue15-46-29.798000.pcm,1499154389798.0,想听他的最火的歌
msc_log_2017-07-04Tue15-46-34.028000.pcm,1499154394028.0,换个人唱的这首歌
msc_log_2017-07-04Tue15-46-38.376000.pcm,1499154398376.0,不想听他唱的了
msc_log_2017-07-04Tue15-46-42.360000.pcm,1499154402360.0,他还有别的好听的歌吗
msc_log_2017-07-04Tue15-46-47.036000.pcm,1499154407036.0,我想听慢摇的歌曲
msc_log_2017-07-04Tue15-46-51.335000.pcm,1499154411335.0,换一个有歌词的歌曲
msc_log_2017-07-04Tue15-46-56.517000.pcm,1499154416517.0,来个英文版的
msc_log_2017-07-04Tue15-47-00.683000.pcm,1499154420683.0,不想听他唱的换个人唱的听听
msc_log_2017-07-04Tue15-47-05.893000.pcm,1499154425893.0,请播放历史我的小丫小苹果
msc_log_2017-07-04Tue15-47-10.782000.pcm,1499154430782.0,循环播放我的历史歌曲
msc_log_2017-07-04Tue15-47-15.581000.pcm,1499154435581.0,播放我的历史歌曲中的轻音乐
msc_log_2017-07-04Tue15-47-20.368000.pcm,1499154440368.0,搜索歌曲那就这样吧
msc_log_2017-07-04Tue15-47-25.405000.pcm,1499154445405.0,换下一首歌曲
msc_log_2017-07-04Tue15-47-30.844000.pcm,1499154450844.0,不想听这个人唱的换个人唱的听听
msc_log_2017-07-04Tue15-47-36.042000.pcm,1499154456042.0,听英文版的那就这样吧
msc_log_2017-07-04Tue15-47-40.798000.pcm,1499154460798.0,不想听英文版的了换个轻音乐吧
msc_log_2017-07-04Tue15-47-46.036000.pcm,1499154466036.0,爱情买卖
msc_log_2017-07-04Tue15-47-49.404000.pcm,1499154469404.0,换个人唱的
msc_log_2017-07-04Tue15-47-53.165000.pcm,1499154473165.0,dj版的有吗
msc_log_2017-07-04Tue15-47-57.311000.pcm,1499154477311.0,放个她唱的其他歌
msc_log_2017-07-04Tue15-48-01.971000.pcm,1499154481971.0,我要听歌儿
msc_log_2017-07-04Tue15-48-05.632000.pcm,1499154485632.0,听英文歌
msc_log_2017-07-04Tue15-48-09.471000.pcm,1499154489471.0,听贾斯汀比伯的歌
msc_log_2017-07-04Tue15-48-14.310000.pcm,1499154494310.0,有没有她唱的温柔一点的歌
msc_log_2017-07-04Tue15-48-19.629000.pcm,1499154499629.0,播放音乐我可以抱你吗宝贝
msc_log_2017-07-04Tue15-48-24.640000.pcm,1499154504640.0,放个她唱的其他歌
msc_log_2017-07-04Tue15-48-29.366000.pcm,1499154509366.0,暂停一下
msc_log_2017-07-04Tue15-48-33.030000.pcm,1499154513030.0,帮我收藏这首歌
msc_log_2017-07-04Tue15-48-36.973000.pcm,1499154516973.0,换下一首吧
msc_log_2017-07-04Tue15-48-41.267000.pcm,1499154521267.0,我想听爱朵唱的歌
msc_log_2017-07-04Tue15-48-45.743000.pcm,1499154525743.0,声音太大了吧
msc_log_2017-07-04Tue15-48-49.841000.pcm,1499154529841.0,下一曲下一曲
msc_log_2017-07-04Tue15-48-53.753000.pcm,1499154533753.0,收藏这首吧
msc_log_2017-07-04Tue15-48-57.942000.pcm,1499154537942.0,歌曲妈妈我想你
msc_log_2017-07-04Tue15-49-03.049000.pcm,1499154543049.0,换下一首
msc_log_2017-07-04Tue15-49-06.978000.pcm,1499154546978.0,先把歌曲暂停一下
msc_log_2017-07-04Tue15-49-11.672000.pcm,1499154551672.0,有别的人唱的吗
msc_log_2017-07-04Tue15-49-16.106000.pcm,1499154556106.0,崔健的歌
msc_log_2017-07-04Tue15-49-19.752000.pcm,1499154559752.0,放他唱的情歌
msc_log_2017-07-04Tue15-49-23.924000.pcm,1499154563924.0,帮我把这首歌收藏一下
msc_log_2017-07-04Tue15-49-28.519000.pcm,1499154568519.0,换下一首歌曲
msc_log_2017-07-04Tue15-49-32.724000.pcm,1499154572724.0,播放护花使者
msc_log_2017-07-04Tue15-49-36.686000.pcm,1499154576686.0,换个其他人唱的
msc_log_2017-07-04Tue15-49-40.984000.pcm,1499154580984.0,换个英文版的
msc_log_2017-07-04Tue15-49-45.097000.pcm,1499154585097.0,随便放个外语版的
msc_log_2017-07-04Tue15-49-49.922000.pcm,1499154589922.0,换下一首
msc_log_2017-07-04Tue15-49-54.055000.pcm,1499154594055.0,请放亲爱的小孩
msc_log_2017-07-04Tue15-49-58.501000.pcm,1499154598501.0,先帮我收藏一下这首歌
msc_log_2017-07-04Tue15-50-03.279000.pcm,1499154603279.0,暂停一下
msc_log_2017-07-04Tue15-50-07.298000.pcm,1499154607298.0,不听这个了换下一曲
msc_log_2017-07-04Tue15-50-13.297000.pcm,1499154613297.0,换个人唱的
msc_log_2017-07-04Tue15-50-17.063000.pcm,1499154617063.0,播放克莱德曼
msc_log_2017-07-04Tue15-50-20.839000.pcm,1499154620839.0,循环播放
msc_log_2017-07-04Tue15-50-24.706000.pcm,1499154624706.0,这首歌有没有m v
msc_log_2017-07-04Tue15-50-29.061000.pcm,1499154629061.0,播放
msc_log_2017-07-04Tue15-50-32.655000.pcm,1499154632655.0,唱世上只有妈妈好
msc_log_2017-07-04Tue15-50-36.892000.pcm,1499154636892.0,要小朋友唱的
msc_log_2017-07-04Tue15-50-41.296000.pcm,1499154641296.0,切换到下一首歌曲
msc_log_2017-07-04Tue15-50-45.671000.pcm,1499154645671.0,换个人唱的
msc_log_2017-07-04Tue15-50-49.482000.pcm,1499154649482.0,可以听歌吗
msc_log_2017-07-04Tue15-50-53.638000.pcm,1499154653638.0,我想听钢琴曲
msc_log_2017-07-04Tue15-50-57.760000.pcm,1499154657760.0,来一首dj舞曲吧
msc_log_2017-07-04Tue15-51-02.014000.pcm,1499154662014.0,把歌曲暂停一下
msc_log_2017-07-04Tue15-51-06.235000.pcm,1499154666235.0,从头播放一遍
msc_log_2017-07-04Tue15-51-11.032000.pcm,1499154671032.0,放一首好听的歌
msc_log_2017-07-04Tue15-51-15.533000.pcm,1499154675533.0,我要听张杰的歌曲
msc_log_2017-07-04Tue15-51-19.734000.pcm,1499154679734.0,听她的力战
msc_log_2017-07-04Tue15-51-23.590000.pcm,1499154683590.0,换下一首吧
msc_log_2017-07-04Tue15-51-27.810000.pcm,1499154687810.0,循环播放逆战
msc_log_2017-07-04Tue15-51-31.819000.pcm,1499154691819.0,播放歌曲
msc_log_2017-07-04Tue15-51-35.487000.pcm,1499154695487.0,查看排行榜歌曲
msc_log_2017-07-04Tue15-51-39.965000.pcm,1499154699965.0,那就薛之谦的吧
msc_log_2017-07-04Tue15-51-44.290000.pcm,1499154704290.0,不是这首是我害怕
msc_log_2017-07-04Tue15-51-49.181000.pcm,1499154709181.0,不错收藏一下
msc_log_2017-07-04Tue15-51-53.098000.pcm,1499154713098.0,歌曲那一天
