strAudioPath,pcm_time(UTC ms),sr_result,套件,是否一致,一致率:91.43%,去除套件没有结果的一致率:99.61%
msc_log_2017-07-20Thu20-27-16.942000.pcm.SpeexWb.pcm,1.50E+12,搜索李玉刚的歌曲,搜索李玉刚的歌曲,TRUE,,
msc_log_2017-07-20Thu20-27-21.130000.pcm.SpeexWb.pcm,1.50E+12,换个新贵妃醉酒,换个新贵妃醉酒,TRUE,,
msc_log_2017-07-20Thu20-27-24.898000.pcm.SpeexWb.pcm,1.50E+12,不要李玉刚唱的,不要李玉刚唱的,TRUE,,
msc_log_2017-07-20Thu20-27-33.595000.pcm.SpeexWb.pcm,1.50E+12,换他唱的别的歌,换他唱的别的歌,TRUE,,
msc_log_2017-07-20Thu20-27-40.009000.pcm.SpeexWb.pcm,1.50E+12,我想点一首尚雯婕的歌,我想点一首尚雯婕的歌,TRUE,,
msc_log_2017-07-20Thu20-27-44.019000.pcm.SpeexWb.pcm,1.50E+12,想听他的最火的歌,想听他的最火的歌,TRUE,,
msc_log_2017-07-20Thu20-27-47.751000.pcm.SpeexWb.pcm,1.50E+12,换个人唱的这首歌,换个人唱的这首歌,TRUE,,
msc_log_2017-07-20Thu20-27-51.417000.pcm.SpeexWb.pcm,1.50E+12,不想听他唱的了,不想听他唱的了,TRUE,,
msc_log_2017-07-20Thu20-27-54.862000.pcm.SpeexWb.pcm,1.50E+12,他还有别的好听的歌吗,他还有别的好听的歌吗,TRUE,,
msc_log_2017-07-20Thu20-27-58.810000.pcm.SpeexWb.pcm,1.50E+12,我想听慢摇的歌曲,我想听慢摇的歌曲,TRUE,,
msc_log_2017-07-20Thu20-28-02.585000.pcm.SpeexWb.pcm,1.50E+12,换一个有歌词的歌曲,换一个有歌词的歌曲,TRUE,,
msc_log_2017-07-20Thu20-28-06.337000.pcm.SpeexWb.pcm,1.50E+12,来个英文版的,来个英文版的,TRUE,,
msc_log_2017-07-20Thu20-28-10.485000.pcm.SpeexWb.pcm,1.50E+12,不想听他唱的换个人唱的听听,不想听他唱的换个人唱的听听,TRUE,,
msc_log_2017-07-20Thu20-28-15.335000.pcm.SpeexWb.pcm,1.50E+12,请播放历史我的小呀小苹果,请播放历史我的小呀小苹果,TRUE,,
msc_log_2017-07-20Thu20-28-19.802000.pcm.SpeexWb.pcm,1.50E+12,循环播放我的历史歌曲,循环播放我的历史歌曲,TRUE,,
msc_log_2017-07-20Thu20-28-24.103000.pcm.SpeexWb.pcm,1.50E+12,播放我的历史歌曲中的轻音乐,播放我的历史歌曲中的轻音乐,TRUE,,
msc_log_2017-07-20Thu20-28-28.571000.pcm.SpeexWb.pcm,1.50E+12,搜索歌曲那就这样吧,搜索歌曲那就这样吧,TRUE,,
msc_log_2017-07-20Thu20-28-32.537000.pcm.SpeexWb.pcm,1.50E+12,换下一首歌曲,换下一首歌曲,TRUE,,
msc_log_2017-07-20Thu20-28-35.948000.pcm.SpeexWb.pcm,1.50E+12,不想听这个人唱的换个人唱的听听,不想听这个人唱的换个人唱的听听,TRUE,,
msc_log_2017-07-20Thu20-28-40.638000.pcm.SpeexWb.pcm,1.50E+12,听英文版的那就这样吧,听英文版的那就这样吧,TRUE,,
msc_log_2017-07-20Thu20-28-44.886000.pcm.SpeexWb.pcm,1.50E+12,不想听英文版的了换个轻音乐吧,不想听英文版的了换个轻音乐吧,TRUE,,
msc_log_2017-07-20Thu20-28-49.361000.pcm.SpeexWb.pcm,1.50E+12,爱情买卖,爱情买卖,TRUE,,
msc_log_2017-07-20Thu20-28-59.189000.pcm.SpeexWb.pcm,1.50E+12,换个人唱的,换个人唱的,TRUE,,
msc_log_2017-07-20Thu20-29-02.318000.pcm.SpeexWb.pcm,1.50E+12,dj版的有吗,dj版的有吗,TRUE,,
msc_log_2017-07-20Thu20-29-06.125000.pcm.SpeexWb.pcm,1.50E+12,放个他唱的其他歌,放个他唱的其他歌,TRUE,,
msc_log_2017-07-20Thu20-29-10.223000.pcm.SpeexWb.pcm,1.50E+12,我要听歌儿,我要听歌儿,TRUE,,
msc_log_2017-07-20Thu20-29-13.543000.pcm.SpeexWb.pcm,1.50E+12,听英文歌,听英文歌,TRUE,,
msc_log_2017-07-20Thu20-29-17.262000.pcm.SpeexWb.pcm,1.50E+12,听贾斯汀比伯的歌,听贾斯汀比伯的歌,TRUE,,
msc_log_2017-07-20Thu20-29-22.285000.pcm.SpeexWb.pcm,1.50E+12,有没有她唱的温柔一点的歌,有没有她唱的温柔一点的歌,TRUE,,
msc_log_2017-07-20Thu20-29-27.338000.pcm.SpeexWb.pcm,1.50E+12,播放音乐我可以抱你吗宝贝,播放音乐我可以抱你吗宝贝,TRUE,,
msc_log_2017-07-20Thu20-29-32.018000.pcm.SpeexWb.pcm,1.50E+12,放个他唱的其他歌,放个他唱的其他歌,TRUE,,
msc_log_2017-07-20Thu20-29-36.231000.pcm.SpeexWb.pcm,1.50E+12,暂停一下,暂停一下,TRUE,,
msc_log_2017-07-20Thu20-29-39.324000.pcm.SpeexWb.pcm,1.50E+12,帮我收藏这首歌,帮我收藏这首歌,TRUE,,
msc_log_2017-07-20Thu20-29-42.803000.pcm.SpeexWb.pcm,1.50E+12,换下一首吧,换下一首吧,TRUE,,
msc_log_2017-07-20Thu20-29-46.211000.pcm.SpeexWb.pcm,1.50E+12,我想听爱朵唱的歌,我想听爱朵唱的歌,TRUE,,
msc_log_2017-07-20Thu20-29-50.447000.pcm.SpeexWb.pcm,1.50E+12,声音太大了吧,声音太大了吧,TRUE,,
msc_log_2017-07-20Thu20-29-54.031000.pcm.SpeexWb.pcm,1.50E+12,下一曲下一曲,下一曲下一曲,TRUE,,
msc_log_2017-07-20Thu20-29-57.390000.pcm.SpeexWb.pcm,1.50E+12,收藏这首吧,收藏这首吧,TRUE,,
msc_log_2017-07-20Thu20-30-00.994000.pcm.SpeexWb.pcm,1.50E+12,歌曲妈妈我想你,歌曲妈妈我想你,TRUE,,
msc_log_2017-07-20Thu20-30-05.019000.pcm.SpeexWb.pcm,1.50E+12,换下一首,换下一首,TRUE,,
msc_log_2017-07-20Thu20-30-08.324000.pcm.SpeexWb.pcm,1.50E+12,先把歌曲暂停一下,先把歌曲暂停一下,TRUE,,
msc_log_2017-07-20Thu20-30-12.450000.pcm.SpeexWb.pcm,1.50E+12,有别的人唱的吗,有别的人唱的吗,TRUE,,
msc_log_2017-07-20Thu20-30-16.155000.pcm.SpeexWb.pcm,1.50E+12,崔健的歌,崔健的歌,TRUE,,
msc_log_2017-07-20Thu20-30-19.985000.pcm.SpeexWb.pcm,1.50E+12,放他唱的情歌,放他唱的情歌,TRUE,,
msc_log_2017-07-20Thu20-30-24.096000.pcm.SpeexWb.pcm,1.50E+12,帮我把这首歌收藏一下,帮我把这首歌收藏一下,TRUE,,
msc_log_2017-07-20Thu20-30-28.465000.pcm.SpeexWb.pcm,1.50E+12,换下一首歌曲,换下一首歌曲,TRUE,,
msc_log_2017-07-20Thu20-30-31.949000.pcm.SpeexWb.pcm,1.50E+12,播放护花使者,播放护花使者,TRUE,,
msc_log_2017-07-20Thu20-30-35.649000.pcm.SpeexWb.pcm,1.50E+12,换个其他人唱的,换个其他人唱的,TRUE,,
msc_log_2017-07-20Thu20-30-39.282000.pcm.SpeexWb.pcm,1.50E+12,换个英文版的,换个英文版的,TRUE,,
msc_log_2017-07-20Thu20-30-42.712000.pcm.SpeexWb.pcm,1.50E+12,随便放个外语版的,随便放个外语版的,TRUE,,
msc_log_2017-07-20Thu20-30-46.671000.pcm.SpeexWb.pcm,1.50E+12,换下一首,换下一首,TRUE,,
