,strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms),,,,<1.2s,1.2s-2s,2s-3s,>3s
airControl,/data/AIUI/sr/600/0259-03.pcm,1.49932E+12,3910,1.49932E+12,2105,,1738,,FALSE,FALSE,TRUE,FALSE
airControl,/data/AIUI/sr/600/0259-04.pcm,1.49932E+12,1980,1.49932E+12,1882,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0339-01.pcm,1.49932E+12,1240,1.49932E+12,1891,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0339-03.pcm,1.49932E+12,1160,1.49932E+12,1565,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0340-01.pcm,1.49932E+12,1240,1.49932E+12,1868,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0340-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0340-03.pcm,1.49932E+12,2580,1.49932E+12,1680,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0341-01.pcm,1.49932E+12,1100,1.49932E+12,1516,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0341-02.pcm,1.49932E+12,1400,1.49932E+12,1789,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0341-03.pcm,1.49932E+12,1880,1.49932E+12,1581,,,,FALSE,TRUE,FALSE,FALSE
airControl,/data/AIUI/sr/600/0341-04.pcm,1.49932E+12,1120,1.49932E+12,1503,,,,FALSE,TRUE,FALSE,FALSE
app,/data/AIUI/sr/600/0169-03.pcm,1.49932E+12,3290,1.49932E+12,1574,,1632,,FALSE,TRUE,FALSE,FALSE
app,/data/AIUI/sr/600/0248-01.pcm,1.49932E+12,1770,1.49932E+12,1668,,,,FALSE,TRUE,FALSE,FALSE
app,/data/AIUI/sr/600/0248-02.pcm,1.49932E+12,1160,1.49932E+12,1550,,,,FALSE,TRUE,FALSE,FALSE
app,/data/AIUI/sr/600/0248-03.pcm,1.49932E+12,2960,1.49932E+12,674,,,,TRUE,FALSE,FALSE,FALSE
app,/data/AIUI/sr/600/0248-04.pcm,1.49932E+12,1900,1.49932E+12,1716,,,,FALSE,TRUE,FALSE,FALSE
