strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/data/AIUI/sr/600/0259-03.pcm,1499321987196.0,3910,1499321993211.0,2105
/data/AIUI/sr/600/0259-04.pcm,1499321993221.0,1980,1499321997083.0,1882
/data/AIUI/sr/600/0339-01.pcm,1499321997098.0,1240,1499322000229.0,1891
/data/AIUI/sr/600/0339-03.pcm,1499322000238.0,1160,1499322002963.0,1565
/data/AIUI/sr/600/0340-01.pcm,1499322002972.0,1240,1499322006080.0,1868
/data/AIUI/sr/600/0340-02.pcm,,,,
/data/AIUI/sr/600/0340-03.pcm,1499322018212.0,2580,1499322022472.0,1680
/data/AIUI/sr/600/0341-01.pcm,1499322022481.0,1100,1499322025097.0,1516
/data/AIUI/sr/600/0341-02.pcm,1499322025106.0,1400,1499322028295.0,1789
/data/AIUI/sr/600/0341-03.pcm,1499322028302.0,1880,1499322031763.0,1581
/data/AIUI/sr/600/0341-04.pcm,1499322031776.0,1120,1499322034399.0,1503
/data/AIUI/sr/600/0169-03.pcm,1499322034420.0,3290,1499322039284.0,1574
/data/AIUI/sr/600/0248-01.pcm,1499322039298.0,1770,1499322042736.0,1668
/data/AIUI/sr/600/0248-02.pcm,1499322042748.0,1160,1499322045458.0,1550
/data/AIUI/sr/600/0248-03.pcm,1499322045467.0,2960,1499322049101.0,674
/data/AIUI/sr/600/0248-04.pcm,1499322049135.0,1900,1499322052751.0,1716
/data/AIUI/sr/600/0249-01.pcm,,,,
/data/AIUI/sr/600/0249-02.pcm,1499322066419.0,1700,1499322069928.0,1809
/data/AIUI/sr/600/0249-04.pcm,1499322069938.0,1970,1499322074048.0,2140
/data/AIUI/sr/600/0250-01.pcm,1499322074066.0,2180,1499322078024.0,1778
/data/AIUI/sr/600/0250-02.pcm,1499322078036.0,2350,1499322081984.0,1598
/data/AIUI/sr/600/0250-03.pcm,,,,
/data/AIUI/sr/600/0250-04.pcm,1499322095918.0,2580,1499322100105.0,1607
/data/AIUI/sr/600/0251-01.pcm,1499322100122.0,2270,1499322104166.0,1774
/data/AIUI/sr/600/0251-02.pcm,,,,
/data/AIUI/sr/600/0251-03.pcm,1499322117190.0,2380,1499322121402.0,1832
/data/AIUI/sr/600/0251-04.pcm,1499322121413.0,1840,1499322124942.0,1689
/data/AIUI/sr/600/0251-05.pcm,1499322124955.0,1780,1499322128264.0,1529
/data/AIUI/sr/600/0252-01.pcm,1499322128272.0,2320,1499322132169.0,1577
/data/AIUI/sr/600/0253-01.pcm,,,,
/data/AIUI/sr/600/0253-02.pcm,1499322144462.0,1320,1499322147373.0,1591
/data/AIUI/sr/600/0339-02.pcm,1499322147386.0,1620,1499322150728.0,1722
/data/AIUI/sr/600/0342-01.pcm,1499322150741.0,1060,1499322153414.0,1613
/data/AIUI/sr/600/0342-02.pcm,,,,
/data/AIUI/sr/600/0009-02.pcm,1499322165737.0,1220,1499322168714.0,1757
/data/AIUI/sr/600/0025-03.pcm,1499322168727.0,1440,1499322171751.0,1584
/data/AIUI/sr/600/0046-03.pcm,1499322171768.0,1270,1499322174529.0,1491
/data/AIUI/sr/600/0065-04.pcm,1499322174542.0,1340,1499322177747.0,1865
/data/AIUI/sr/600/0067-04.pcm,1499322177766.0,1960,1499322181099.0,1373
/data/AIUI/sr/600/0079-02.pcm,,,,
/data/AIUI/sr/600/0087-04.pcm,1499322192632.0,1390,1499322195751.0,1729
/data/AIUI/sr/600/0104-04.pcm,1499322195763.0,1420,1499322198755.0,1572
/data/AIUI/sr/600/0105-03.pcm,1499322198763.0,1260,1499322201580.0,1557
/data/AIUI/sr/600/0112-03.pcm,1499322201592.0,1480,1499322204684.0,1612
/data/AIUI/sr/600/0116-03.pcm,1499322204698.0,1300,1499322207786.0,1788
/data/AIUI/sr/600/0119-02.pcm,1499322207799.0,1570,1499322211281.0,1912
/data/AIUI/sr/600/0123-04.pcm,1499322211289.0,1510,1499322214388.0,1589
/data/AIUI/sr/600/0136-03.pcm,1499322214399.0,1410,1499322217292.0,1483
/data/AIUI/sr/600/0139-05.pcm,1499322217301.0,1640,1499322220678.0,1737
/data/AIUI/sr/600/0145-04.pcm,,,,
/data/AIUI/sr/600/0146-02.pcm,,,,
/data/AIUI/sr/600/0149-03.pcm,1499322244559.0,1820,1499322248089.0,1710
/data/AIUI/sr/600/0150-04.pcm,1499322248105.0,2040,1499322251964.0,1819
/data/AIUI/sr/600/0168-02.pcm,1499322251978.0,1800,1499322256115.0,2337
/data/AIUI/sr/600/0349-01.pcm,1499322256127.0,1700,1499322259425.0,1598
/data/AIUI/sr/600/0349-02.pcm,1499322259435.0,1880,1499322262685.0,1370
