strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/data/AIUI/sr/600/0259-03.pcm,,,,
/data/AIUI/sr/600/0259-04.pcm,1499758571898.0,1980,1499758575624.0,1746
/data/AIUI/sr/600/0339-01.pcm,1499758575635.0,1240,1499758578795.0,1920
/data/AIUI/sr/600/0339-03.pcm,1499758578807.0,1160,1499758581369.0,1402
/data/AIUI/sr/600/0340-01.pcm,1499758581377.0,1240,1499758584198.0,1581
/data/AIUI/sr/600/0340-02.pcm,1499758584210.0,1640,1499758587580.0,1730
/data/AIUI/sr/600/0340-03.pcm,1499758587591.0,2580,1499758591948.0,1777
/data/AIUI/sr/600/0341-01.pcm,1499758591963.0,1100,1499758594605.0,1542
/data/AIUI/sr/600/0341-02.pcm,1499758594612.0,1400,1499758597787.0,1775
/data/AIUI/sr/600/0341-03.pcm,1499758597797.0,1880,1499758601101.0,1424
/data/AIUI/sr/600/0341-04.pcm,1499758601118.0,1120,1499758604258.0,2020
/data/AIUI/sr/600/0169-03.pcm,1499758604269.0,3290,1499758609116.0,1557
/data/AIUI/sr/600/0248-01.pcm,1499758609131.0,1770,1499758612973.0,2072
/data/AIUI/sr/600/0248-02.pcm,1499758612988.0,1160,1499758616413.0,2265
/data/AIUI/sr/600/0248-03.pcm,1499758616423.0,2960,1499758620390.0,1007
/data/AIUI/sr/600/0248-04.pcm,1499758620406.0,1900,1499758624484.0,2178
/data/AIUI/sr/600/0249-01.pcm,,,,
/data/AIUI/sr/600/0249-02.pcm,1499758638135.0,1700,1499758641579.0,1744
/data/AIUI/sr/600/0249-04.pcm,1499758641587.0,1970,1499758645406.0,1849
/data/AIUI/sr/600/0250-01.pcm,1499758645421.0,2180,1499758649263.0,1662
/data/AIUI/sr/600/0250-02.pcm,1499758649271.0,2350,1499758653082.0,1461
/data/AIUI/sr/600/0250-03.pcm,,,,
/data/AIUI/sr/600/0250-04.pcm,1499758667016.0,2580,1499758671095.0,1499
/data/AIUI/sr/600/0251-01.pcm,1499758671104.0,2270,1499758675108.0,1734
/data/AIUI/sr/600/0251-02.pcm,,,,
/data/AIUI/sr/600/0251-03.pcm,1499758688131.0,2380,1499758692381.0,1870
/data/AIUI/sr/600/0251-04.pcm,1499758692392.0,1840,1499758695711.0,1479
/data/AIUI/sr/600/0251-05.pcm,1499758695717.0,1780,1499758699031.0,1534
/data/AIUI/sr/600/0252-01.pcm,1499758699043.0,2320,1499758702923.0,1560
/data/AIUI/sr/600/0253-01.pcm,1499758702931.0,1700,1499758706588.0,1957
/data/AIUI/sr/600/0253-02.pcm,1499758706608.0,1320,1499758709194.0,1266
/data/AIUI/sr/600/0339-02.pcm,1499758709202.0,1620,1499758712470.0,1648
/data/AIUI/sr/600/0342-01.pcm,1499758712486.0,1060,1499758715156.0,1610
/data/AIUI/sr/600/0342-02.pcm,1499758715164.0,1820,1499758718985.0,2001
/data/AIUI/sr/600/0009-02.pcm,1499758718998.0,1220,1499758722010.0,1792
/data/AIUI/sr/600/0025-03.pcm,1499758722024.0,1440,1499758725005.0,1541
/data/AIUI/sr/600/0046-03.pcm,1499758725016.0,1270,1499758727571.0,1285
/data/AIUI/sr/600/0065-04.pcm,1499758727583.0,1340,1499758731144.0,2221
/data/AIUI/sr/600/0067-04.pcm,1499758731159.0,1960,1499758734738.0,1619
/data/AIUI/sr/600/0079-02.pcm,1499758734749.0,1110,1499758737351.0,1492
/data/AIUI/sr/600/0087-04.pcm,1499758737358.0,1390,1499758740580.0,1832
/data/AIUI/sr/600/0104-04.pcm,1499758740595.0,1420,1499758743384.0,1369
/data/AIUI/sr/600/0105-03.pcm,1499758743393.0,1260,1499758746172.0,1519
/data/AIUI/sr/600/0112-03.pcm,1499758746184.0,1480,1499758749113.0,1449
/data/AIUI/sr/600/0116-03.pcm,1499758749123.0,1300,1499758751767.0,1344
/data/AIUI/sr/600/0119-02.pcm,1499758751780.0,1570,1499758755059.0,1709
/data/AIUI/sr/600/0123-04.pcm,1499758755069.0,1510,1499758758062.0,1483
/data/AIUI/sr/600/0136-03.pcm,1499758758077.0,1410,1499758761067.0,1580
/data/AIUI/sr/600/0139-05.pcm,1499758761081.0,1640,1499758764578.0,1857
/data/AIUI/sr/600/0145-04.pcm,1499758764592.0,1420,1499758767664.0,1652
/data/AIUI/sr/600/0146-02.pcm,,,,
/data/AIUI/sr/600/0149-03.pcm,,,,
/data/AIUI/sr/600/0150-04.pcm,1499758791966.0,2040,1499758795900.0,1894
/data/AIUI/sr/600/0168-02.pcm,1499758795908.0,1800,1499758799433.0,1725
/data/AIUI/sr/600/0349-01.pcm,1499758799446.0,1700,1499758802904.0,1758
/data/AIUI/sr/600/0349-02.pcm,1499758802917.0,1880,1499758806375.0,1578
/data/AIUI/sr/600/0349-03.pcm,1499758806387.0,1880,1499758810132.0,1865
/data/AIUI/sr/600/0349-04.pcm,,,,
/data/AIUI/sr/600/0349-05.pcm,1499758822214.0,860,1499758824769.0,1695
/data/AIUI/sr/600/0350-01.pcm,1499758824783.0,1540,1499758827644.0,1321
/data/AIUI/sr/600/0350-02.pcm,1499758827652.0,1600,1499758830954.0,1702
/data/AIUI/sr/600/0350-03.pcm,1499758830962.0,1400,1499758834154.0,1792
/data/AIUI/sr/600/0351-01.pcm,1499758834167.0,1360,1499758837046.0,1519
/data/AIUI/sr/600/0351-02.pcm,1499758837084.0,2860,1499758841580.0,1636
/data/AIUI/sr/600/0351-03.pcm,1499758841587.0,1400,1499758844636.0,1649
/data/AIUI/sr/600/0351-04.pcm,1499758844652.0,800,1499758847215.0,1763
/data/AIUI/sr/600/0174-02.pcm,1499758847222.0,2390,1499758851147.0,1535
/data/AIUI/sr/600/0174-03.pcm,1499758851162.0,2150,1499758855357.0,2045
/data/AIUI/sr/600/0174-04.pcm,1499758855373.0,1420,1499758858500.0,1707
/data/AIUI/sr/600/0208-04.pcm,1499758858513.0,2990,1499758863015.0,1512
/data/AIUI/sr/600/0249-03.pcm,1499758863032.0,3630,1499758868549.0,1887
/data/AIUI/sr/600/0254-02.pcm,1499758868562.0,2230,1499758872557.0,1765
/data/AIUI/sr/600/0265-04.pcm,1499758872572.0,5420,1499758879600.0,1608
/data/AIUI/sr/600/0370-04.pcm,1499758879612.0,1450,1499758882678.0,1616
/data/AIUI/sr/600/0390-01.pcm,1499758882691.0,2980,1499758887834.0,2163
/data/AIUI/sr/600/0390-02.pcm,1499758887851.0,1220,1499758890775.0,1704
/data/AIUI/sr/600/0390-03.pcm,1499758890790.0,1690,1499758894619.0,2139
/data/AIUI/sr/600/0390-04.pcm,1499758894632.0,1240,1499758897191.0,1319
/data/AIUI/sr/600/0391-01.pcm,1499758897203.0,1960,1499758901004.0,1841
/data/AIUI/sr/600/0391-02.pcm,1499758901018.0,2330,1499758905344.0,1996
/data/AIUI/sr/600/0391-03.pcm,1499758905358.0,2860,1499758910077.0,1859
/data/AIUI/sr/600/0391-04.pcm,1499758910088.0,1990,1499758913730.0,1652
/data/AIUI/sr/600/0391-05.pcm,1499758913738.0,1400,1499758916625.0,1487
/data/AIUI/sr/600/0392-01.pcm,1499758916639.0,2060,1499758921627.0,2928
/data/AIUI/sr/600/0392-02.pcm,,,,
/data/AIUI/sr/600/0392-03.pcm,,,,
/data/AIUI/sr/600/0001-01.pcm,1499758947627.0,1900,1499758951044.0,1517
/data/AIUI/sr/600/0001-02.pcm,,,,
/data/AIUI/sr/600/0001-03.pcm,,,,
/data/AIUI/sr/600/0001-04.pcm,1499758975020.0,1730,1499758978336.0,1586
/data/AIUI/sr/600/0002-01.pcm,1499758978349.0,2140,1499758983223.0,2734
/data/AIUI/sr/600/0002-02.pcm,1499758983240.0,1850,1499758986697.0,1607
/data/AIUI/sr/600/0002-03.pcm,1499758986713.0,1910,1499758990096.0,1473
/data/AIUI/sr/600/0002-04.pcm,1499758990112.0,1680,1499758993307.0,1515
/data/AIUI/sr/600/0002-05.pcm,1499758993321.0,2030,1499758997257.0,1906
/data/AIUI/sr/600/0003-01.pcm,1499758997276.0,1980,1499759001128.0,1872
/data/AIUI/sr/600/0003-02.pcm,1499759001148.0,1980,1499759004805.0,1677
/data/AIUI/sr/600/0003-03.pcm,1499759004818.0,1350,1499759007773.0,1605
/data/AIUI/sr/600/0003-04.pcm,1499759007789.0,2760,1499759012090.0,1541
/data/AIUI/sr/600/0004-01.pcm,1499759012108.0,2700,1499759016360.0,1552
/data/AIUI/sr/600/0004-02.pcm,1499759016373.0,2250,1499759020086.0,1463
/data/AIUI/sr/600/0004-03.pcm,1499759020099.0,2690,1499759024368.0,1579
/data/AIUI/sr/600/0005-01.pcm,1499759024379.0,1860,1499759028011.0,1772
/data/AIUI/sr/600/0005-02.pcm,1499759028029.0,1590,1499759031335.0,1716
/data/AIUI/sr/600/0005-03.pcm,1499759031356.0,2920,1499759035663.0,1387
/data/AIUI/sr/600/0005-04.pcm,1499759035672.0,2010,1499759039615.0,1933
/data/AIUI/sr/600/0155-02.pcm,1499759039639.0,2590,1499759043937.0,1708
/data/AIUI/sr/600/0155-03.pcm,1499759043947.0,3920,1499759049763.0,1896
/data/AIUI/sr/600/0155-04.pcm,1499759049770.0,1960,1499759053330.0,1600
/data/AIUI/sr/600/0325-01.pcm,1499759053341.0,1860,1499759056996.0,1795
/data/AIUI/sr/600/0325-02.pcm,1499759057022.0,2310,1499759061098.0,1766
/data/AIUI/sr/600/0326-01.pcm,1499759061129.0,1320,1499759063888.0,1439
/data/AIUI/sr/600/0327-01.pcm,1499759063916.0,1370,1499759067044.0,1758
/data/AIUI/sr/600/0327-02.pcm,1499759067068.0,2250,1499759071464.0,2146
/data/AIUI/sr/600/0327-03.pcm,,,,
/data/AIUI/sr/600/0327-04.pcm,1499759083743.0,1960,1499759087398.0,1695
/data/AIUI/sr/600/0328-01.pcm,1499759087414.0,3220,1499759092689.0,2055
/data/AIUI/sr/600/0328-02.pcm,1499759092703.0,1770,1499759096350.0,1877
/data/AIUI/sr/600/0328-03.pcm,1499759096365.0,1240,1499759099219.0,1614
/data/AIUI/sr/600/0328-04.pcm,1499759099226.0,2140,1499759103313.0,1947
