strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1499311253845.0,3910,1499311259305.0,1550
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1499311259664.0,1980,1499311263267.0,1623
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1499311263439.0,1240,1499311266153.0,1474
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,1499311266341.0,1160,1499311268759.0,1258
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,1499311268837.0,1240,1499311271364.0,1287
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1499311271769.0,1640,1499311274983.0,1574
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,1499311275077.0,2580,1499311279382.0,1725
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1499311279491.0,1100,1499311281894.0,1303
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1499311281987.0,1400,1499311284998.0,1611
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1499311285185.0,1880,1499311288446.0,1381
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1499311288524.0,1120,1499311291129.0,1485
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1499311291238.0,3290,1499311296340.0,1812
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1499311296496.0,1770,1499311299818.0,1552
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1499311299928.0,1160,1499311302455.0,1367
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1499311302548.0,2960,1499311305466.0,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-04.pcm,1499311306386.0,1900,1499311306854.0,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-01.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-02.pcm,1499311322516.0,1700,1499311326026.0,1810
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-04.pcm,1499311326151.0,1970,1499311330083.0,1962
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-01.pcm,1499311330192.0,2180,1499311333936.0,1564
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-02.pcm,1499311334014.0,2350,1499311337742.0,1378
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-03.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-04.pcm,1499311351735.0,2580,1499311355589.0,1274
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-01.pcm,1499311355651.0,2270,1499311359411.0,1490
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-02.pcm,1499311359676.0,2400,1499311364091.0,2015
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-03.pcm,1499311364138.0,2380,1499311368116.0,1598
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-04.pcm,1499311368162.0,1840,1499311371220.0,1218
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-05.pcm,1499311371376.0,1780,1499311374590.0,1434
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-01.pcm,1499311374652.0,2320,1499311378365.0,1393
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-01.pcm,1499311378474.0,1700,1499311382015.0,1841
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-02.pcm,1499311382078.0,1320,1499311384714.0,1316
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-02.pcm,1499311384823.0,1620,1499311387818.0,1375
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-01.pcm,1499311387959.0,1060,1499311390455.0,1436
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-02.pcm,1499311390549.0,1820,1499311393622.0,1253
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-02.pcm,1499311393731.0,1220,1499311396508.0,1557
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-03.pcm,1499311396773.0,1440,1499311399519.0,1306
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0046-03.pcm,1499311399628.0,1270,1499311402155.0,1257
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0065-04.pcm,1499311402295.0,1340,1499311405275.0,1640
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0067-04.pcm,1499311405369.0,1960,1499311408567.0,1238
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0079-02.pcm,1499311408707.0,1110,1499311411109.0,1292
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0087-04.pcm,1499311411234.0,1390,1499311413949.0,1325
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0104-04.pcm,1499311414042.0,1420,1499311416694.0,1232
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0105-03.pcm,1499311416803.0,1260,1499311419346.0,1283
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0112-03.pcm,1499311419424.0,1480,1499311422232.0,1328
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0116-03.pcm,1499311422794.0,1300,1499311425618.0,1524
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0119-02.pcm,1499311425711.0,1570,1499311428784.0,1503
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0123-04.pcm,1499311428878.0,1510,1499311432123.0,1735
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0136-03.pcm,1499311432248.0,1410,1499311434931.0,1273
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0139-05.pcm,1499311435570.0,1640,1499311438800.0,1590
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0145-04.pcm,1499311439268.0,1420,1499311442232.0,1544
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0146-02.pcm,1499311442341.0,1500,1499311445352.0,1511
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0149-03.pcm,1499311445492.0,1820,1499311448830.0,1518
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0150-04.pcm,1499311448986.0,2040,1499311452621.0,1595
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0168-02.pcm,1499311452699.0,1800,1499311456022.0,1523
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-01.pcm,1499311456131.0,1700,1499311459111.0,1280
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-02.pcm,1499311459267.0,1880,1499311462496.0,1349
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-03.pcm,1499311462559.0,1880,1499311465928.0,1489
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-04.pcm,1499311466022.0,1700,1499311469267.0,1545
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-05.pcm,1499311469313.0,860,1499311471622.0,1449
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-01.pcm,1499311471685.0,1540,1499311474508.0,1283
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-02.pcm,1499311474649.0,1600,1499311477566.0,1317
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-03.pcm,1499311477628.0,1400,1499311480608.0,1580
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-01.pcm,1499311480686.0,1360,1499311483463.0,1417
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-02.pcm,1499311484134.0,2860,1499311490576.0,3582
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-03.pcm,1499311490639.0,1400,1499311493306.0,1267
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-04.pcm,1499311493353.0,800,1499311495615.0,1462
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-02.pcm,1499311496130.0,2390,1499311500233.0,1713
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-03.pcm,1499311500358.0,2150,1499311504429.0,1921
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-04.pcm,1499311504570.0,1420,1499311507315.0,1325
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0208-04.pcm,1499311507830.0,2990,1499311512026.0,1206
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-03.pcm,1499311512104.0,3630,1499311517502.0,1768
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0254-02.pcm,1499311517752.0,2230,1499311521667.0,1685
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0265-04.pcm,1499311521839.0,5420,1499311528765.0,1506
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0370-04.pcm,1499311528875.0,1450,1499311532353.0,2028
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-01.pcm,1499311532509.0,2980,1499311537470.0,1981
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-02.pcm,1499311537782.0,1220,1499311540606.0,1604
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-03.pcm,1499311540809.0,1690,1499311544147.0,1648
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-04.pcm,1499311544225.0,1240,1499311546768.0,1303
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-01.pcm,1499311546830.0,1960,1499311550512.0,1722
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-02.pcm,1499311550715.0,2330,1499311554880.0,1835
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-03.pcm,1499311555130.0,2860,1499311559747.0,1757
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-04.pcm,1499311559981.0,1990,1499311563554.0,1583
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-05.pcm,1499311563647.0,1400,1499311566330.0,1283
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-01.pcm,1499311566408.0,2060,1499311570324.0,1856
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-02.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-03.pcm,1499311583444.0,2210,1499311587281.0,1627
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-01.pcm,1499311587328.0,1900,1499311590589.0,1361
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-02.pcm,1499311591181.0,1600,1499311594379.0,1598
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-03.pcm,1499311594972.0,1520,1499311598123.0,1631
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-04.pcm,1499311598685.0,1730,1499311601774.0,1359
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-01.pcm,1499311601852.0,2140,1499311605549.0,1557
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-02.pcm,1499311606048.0,1850,1499311609246.0,1348
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-03.pcm,1499311609792.0,1910,1499311613084.0,1382
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-04.pcm,1499311613599.0,1680,1499311616516.0,1237
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-05.pcm,1499311616578.0,2030,1499311620229.0,1621
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-01.pcm,1499311620822.0,1980,1499311624176.0,1374
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-02.pcm,1499311624753.0,1980,1499311628372.0,1639
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-03.pcm,1499311628450.0,1350,1499311631352.0,1552
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-04.pcm,1499311631398.0,2760,1499311635517.0,1359
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-01.pcm,1499311635610.0,2700,1499311639916.0,1606
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-02.pcm,1499311639963.0,2250,1499311643520.0,1307
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-03.pcm,1499311643645.0,2690,1499311647576.0,1241
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-01.pcm,1499311647638.0,1860,1499311651211.0,1713
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-02.pcm,1499311651819.0,1590,1499311654877.0,1468
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-03.pcm,1499311655610.0,2920,1499311659791.0,1261
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-04.pcm,1499311659853.0,2010,1499311663581.0,1718
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0155-02.pcm,1499311664065.0,2590,1499311667965.0,1310
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0155-03.pcm,1499311668074.0,3920,1499311673503.0,1509
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0155-04.pcm,1499311673566.0,1960,1499311676810.0,1284
