strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/data/AIUI/sr/600/0259-03.pcm,1500554223824.0,3910,1500554231399.0,3665
/data/AIUI/sr/600/0259-04.pcm,1500554231406.0,1980,1500554234204.0,818
/data/AIUI/sr/600/0339-01.pcm,,,,
/data/AIUI/sr/600/0339-03.pcm,1500554235528.0,1160,1500554237844.0,1156
/data/AIUI/sr/600/0340-01.pcm,,,,
/data/AIUI/sr/600/0340-02.pcm,1500554239416.0,1640,1500554242344.0,1288
/data/AIUI/sr/600/0340-03.pcm,,,,
/data/AIUI/sr/600/0341-01.pcm,1500554245377.0,1100,1500554247619.0,1142
/data/AIUI/sr/600/0341-02.pcm,,,,
/data/AIUI/sr/600/0341-03.pcm,1500554249329.0,1880,1500554252882.0,1673
/data/AIUI/sr/600/0341-04.pcm,1500554252890.0,1120,1500554253972.0,
/data/AIUI/sr/600/0169-03.pcm,1500554254451.0,3290,1500554258646.0,905
/data/AIUI/sr/600/0248-01.pcm,1500554258658.0,1770,1500554261558.0,1130
/data/AIUI/sr/600/0248-02.pcm,1500554260899.0,1160,1500554263000.0,941
/data/AIUI/sr/600/0248-03.pcm,1500554262420.0,2960,1500554266373.0,993
/data/AIUI/sr/600/0248-04.pcm,1500554266082.0,1900,1500554269112.0,1130
/data/AIUI/sr/600/0249-01.pcm,,,,
/data/AIUI/sr/600/0249-02.pcm,1500554272095.0,1700,1500554273420.0,
/data/AIUI/sr/600/0249-04.pcm,1500554274287.0,1970,1500554277581.0,1324
/data/AIUI/sr/600/0250-01.pcm,1500554276798.0,2180,1500554280076.0,1098
/data/AIUI/sr/600/0250-02.pcm,1500554279529.0,2350,1500554282879.0,1000
/data/AIUI/sr/600/0250-03.pcm,,,,
/data/AIUI/sr/600/0250-04.pcm,1500554286262.0,2580,1500554287626.0,
/data/AIUI/sr/600/0251-01.pcm,1500554289486.0,2270,1500554292864.0,1108
/data/AIUI/sr/600/0251-02.pcm,,,,
/data/AIUI/sr/600/0251-03.pcm,1500554295237.0,2380,1500554296281.0,
/data/AIUI/sr/600/0251-04.pcm,1500554298168.0,1840,1500554299291.0,
/data/AIUI/sr/600/0251-05.pcm,1500554300489.0,1780,1500554303359.0,1090
/data/AIUI/sr/600/0252-01.pcm,1500554302740.0,2320,1500554306062.0,1002
/data/AIUI/sr/600/0253-01.pcm,,,,
/data/AIUI/sr/600/0253-02.pcm,1500554307743.0,1320,1500554308897.0,
/data/AIUI/sr/600/0339-02.pcm,1500554309429.0,1620,1500554312214.0,1165
/data/AIUI/sr/600/0342-01.pcm,,,,
/data/AIUI/sr/600/0342-02.pcm,1500554313640.0,1820,1500554316757.0,1297
/data/AIUI/sr/600/0009-02.pcm,,,,
/data/AIUI/sr/600/0025-03.pcm,1500554318376.0,1440,1500554320922.0,1106
/data/AIUI/sr/600/0046-03.pcm,,,,
/data/AIUI/sr/600/0065-04.pcm,1500554322538.0,1340,1500554325172.0,1294
/data/AIUI/sr/600/0067-04.pcm,1500554325178.0,1960,1500554328267.0,1129
/data/AIUI/sr/600/0079-02.pcm,,,,
/data/AIUI/sr/600/0087-04.pcm,1500554329049.0,1390,1500554331674.0,1235
/data/AIUI/sr/600/0104-04.pcm,1500554331681.0,1420,1500554334182.0,1081
/data/AIUI/sr/600/0105-03.pcm,,,,
/data/AIUI/sr/600/0112-03.pcm,1500554335106.0,1480,1500554336201.0,
/data/AIUI/sr/600/0116-03.pcm,1500554337001.0,1300,1500554339525.0,1224
/data/AIUI/sr/600/0119-02.pcm,,,,
/data/AIUI/sr/600/0123-04.pcm,1500554341578.0,1510,1500554344365.0,1277
/data/AIUI/sr/600/0136-03.pcm,1500554344367.0,1410,1500554347003.0,1226
/data/AIUI/sr/600/0139-05.pcm,,,,
/data/AIUI/sr/600/0145-04.pcm,1500554348309.0,1420,1500554349377.0,
/data/AIUI/sr/600/0146-02.pcm,,,,
/data/AIUI/sr/600/0149-03.pcm,1500554351950.0,1820,1500554354829.0,1059
/data/AIUI/sr/600/0150-04.pcm,1500554354833.0,2040,1500554355949.0,
/data/AIUI/sr/600/0168-02.pcm,1500554357314.0,1800,1500554360509.0,1395
/data/AIUI/sr/600/0349-01.pcm,,,,
/data/AIUI/sr/600/0349-02.pcm,1500554361705.0,1880,1500554362862.0,
/data/AIUI/sr/600/0349-03.pcm,1500554363989.0,1880,1500554366945.0,1076
/data/AIUI/sr/600/0349-04.pcm,,,,
/data/AIUI/sr/600/0349-05.pcm,1500554368908.0,860,1500554370949.0,1181
/data/AIUI/sr/600/0350-01.pcm,,,,
/data/AIUI/sr/600/0350-02.pcm,1500554372912.0,1600,1500554375578.0,1066
/data/AIUI/sr/600/0350-03.pcm,,,,
/data/AIUI/sr/600/0351-01.pcm,1500554377253.0,1360,1500554379758.0,1145
/data/AIUI/sr/600/0351-02.pcm,,,,
/data/AIUI/sr/600/0351-03.pcm,1500554383232.0,1400,1500554384235.0,
/data/AIUI/sr/600/0351-04.pcm,1500554384945.0,800,1500554386802.0,1057
/data/AIUI/sr/600/0174-02.pcm,1500554386804.0,2390,1500554387919.0,
/data/AIUI/sr/600/0174-03.pcm,1500554389575.0,2150,1500554390709.0,
/data/AIUI/sr/600/0174-04.pcm,1500554392238.0,1420,1500554393575.0,
/data/AIUI/sr/600/0208-04.pcm,1500554394140.0,2990,1500554398173.0,1043
/data/AIUI/sr/600/0249-03.pcm,1500554397780.0,3630,1500554402688.0,1278
/data/AIUI/sr/600/0254-02.pcm,1500554402102.0,2230,1500554405554.0,1222
/data/AIUI/sr/600/0265-04.pcm,1500554404824.0,5420,1500554411285.0,1041
/data/AIUI/sr/600/0370-04.pcm,1500554410905.0,1450,1500554413462.0,1107
/data/AIUI/sr/600/0390-01.pcm,,,,
/data/AIUI/sr/600/0390-02.pcm,1500554416258.0,1220,1500554417621.0,143
/data/AIUI/sr/600/0390-03.pcm,1500554417740.0,1690,1500554420407.0,977
/data/AIUI/sr/600/0390-04.pcm,1500554420416.0,1240,1500554422863.0,1207
/data/AIUI/sr/600/0391-01.pcm,1500554422017.0,1960,1500554425456.0,1479
/data/AIUI/sr/600/0391-02.pcm,,,,
/data/AIUI/sr/600/0391-03.pcm,1500554427409.0,2860,1500554428765.0,
/data/AIUI/sr/600/0391-04.pcm,,,,
/data/AIUI/sr/600/0391-05.pcm,1500554433531.0,1400,1500554434539.0,
/data/AIUI/sr/600/0392-01.pcm,1500554435292.0,2060,1500554438668.0,1316
/data/AIUI/sr/600/0392-02.pcm,,,,
/data/AIUI/sr/600/0392-03.pcm,1500554440605.0,2210,1500554442504.0,
/data/AIUI/sr/600/0001-01.pcm,,,,
/data/AIUI/sr/600/0001-02.pcm,1500554445799.0,1600,1500554448180.0,781
/data/AIUI/sr/600/0001-03.pcm,,,,
/data/AIUI/sr/600/0001-04.pcm,1500554450011.0,1730,1500554452703.0,962
/data/AIUI/sr/600/0002-01.pcm,,,,
/data/AIUI/sr/600/0002-02.pcm,1500554455202.0,1850,1500554456233.0,
