strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/data/AIUI/sr/600/0259-03.pcm,,,,
/data/AIUI/sr/600/0259-04.pcm,1500553407429.0,1980,1500553410277.0,868
/data/AIUI/sr/600/0339-01.pcm,,,,
/data/AIUI/sr/600/0339-03.pcm,,,,
/data/AIUI/sr/600/0340-01.pcm,,,,
/data/AIUI/sr/600/0340-02.pcm,1500553445398.0,1640,1500553447844.0,806
/data/AIUI/sr/600/0340-03.pcm,,,,
/data/AIUI/sr/600/0341-01.pcm,,,,
/data/AIUI/sr/600/0341-02.pcm,,,,
/data/AIUI/sr/600/0341-03.pcm,,,,
/data/AIUI/sr/600/0341-04.pcm,,,,
/data/AIUI/sr/600/0169-03.pcm,,,,
/data/AIUI/sr/600/0248-01.pcm,1500553522231.0,1770,1500553524899.0,898
/data/AIUI/sr/600/0248-02.pcm,,,,
/data/AIUI/sr/600/0248-03.pcm,1500553536540.0,2960,1500553538866.0,
/data/AIUI/sr/600/0248-04.pcm,,,,
/data/AIUI/sr/600/0249-01.pcm,1500553542674.0,2920,1500553549457.0,3863
/data/AIUI/sr/600/0249-02.pcm,1500553549466.0,1700,1500553550524.0,
/data/AIUI/sr/600/0249-04.pcm,1500553551657.0,1970,1500553554811.0,1184
/data/AIUI/sr/600/0250-01.pcm,1500553554167.0,2180,1500553557784.0,1437
/data/AIUI/sr/600/0250-02.pcm,1500553556899.0,2350,1500553560122.0,873
/data/AIUI/sr/600/0250-03.pcm,,,,
/data/AIUI/sr/600/0250-04.pcm,1500553563632.0,2580,1500553564850.0,
/data/AIUI/sr/600/0251-01.pcm,1500553566853.0,2270,1500553570109.0,986
/data/AIUI/sr/600/0251-02.pcm,1500553569704.0,2400,1500553573557.0,1453
/data/AIUI/sr/600/0251-03.pcm,1500553572605.0,2380,1500553575832.0,847
/data/AIUI/sr/600/0251-04.pcm,1500553575536.0,1840,1500553578322.0,946
/data/AIUI/sr/600/0251-05.pcm,1500553577858.0,1780,1500553580521.0,883
/data/AIUI/sr/600/0252-01.pcm,1500553580108.0,2320,1500553583196.0,768
/data/AIUI/sr/600/0253-01.pcm,1500553582941.0,1700,1500553585362.0,721
/data/AIUI/sr/600/0253-02.pcm,1500553585112.0,1320,1500553587126.0,694
/data/AIUI/sr/600/0339-02.pcm,1500553586793.0,1620,1500553589048.0,635
/data/AIUI/sr/600/0342-01.pcm,1500553588794.0,1060,1500553590660.0,806
/data/AIUI/sr/600/0342-02.pcm,1500553590215.0,1820,1500553592826.0,791
/data/AIUI/sr/600/0009-02.pcm,,,,
/data/AIUI/sr/600/0025-03.pcm,1500553594016.0,1440,1500553595090.0,
/data/AIUI/sr/600/0046-03.pcm,1500553595857.0,1270,1500553597924.0,797
/data/AIUI/sr/600/0065-04.pcm,1500553597468.0,1340,1500553599580.0,772
/data/AIUI/sr/600/0067-04.pcm,1500553599399.0,1960,1500553602189.0,830
