strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1500554318700.0,3910,1500554323458.0,848
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1500554323473.0,1980,1500554326235.0,782
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1500554326297.0,1240,1500554328341.0,804
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,1500554339916.0,1240,1500554341694.0,538
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1500554341741.0,1640,1500554344300.0,919
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1500554357419.0,1100,1500554359276.0,757
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1500554359307.0,1400,1500554362396.0,1689
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1500554362427.0,1880,1500554364845.0,538
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1500554364861.0,1120,1500554367341.0,1360
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1500554367357.0,3290,1500554371288.0,641
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1500554371303.0,1770,1500554373909.0,836
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1500554373940.0,1160,1500554376108.0,1008
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1500554376139.0,2960,1500554378745.0,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-04.pcm,1500554379837.0,1900,1500554382442.0,705
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-01.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-02.pcm,1500554385905.0,1700,1500554386903.0,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-04.pcm,1500554388120.0,1970,1500554391147.0,1057
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-01.pcm,1500554390647.0,2180,1500554393830.0,1003
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-02.pcm,1500554393409.0,2350,1500554396404.0,645
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-03.pcm,1500554396357.0,3100,1500554401115.0,1658
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-04.pcm,1500554400195.0,2580,1500554403346.0,571
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-01.pcm,1500554403440.0,2270,1500554406544.0,834
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-02.pcm,1500554406560.0,2400,1500554411130.0,2170
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-03.pcm,1500554411146.0,2380,1500554414375.0,849
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-04.pcm,1500554414406.0,1840,1500554416856.0,610
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-05.pcm,1500554416871.0,1780,1500554419211.0,560
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-01.pcm,1500554419227.0,2320,1500554422160.0,613
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-01.pcm,1500554422191.0,1700,1500554424609.0,718
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-02.pcm,1500554424625.0,1320,1500554426699.0,754
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-02.pcm,1500554426715.0,1620,1500554428915.0,580
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-01.pcm,1500554428946.0,1060,1500554430615.0,609
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-02.pcm,1500554430646.0,1820,1500554432986.0,520
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-02.pcm,1500554433017.0,1220,1500554434921.0,684
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-03.pcm,1500554434952.0,1440,1500554437073.0,681
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0046-03.pcm,1500554437105.0,1270,1500554438914.0,539
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0065-04.pcm,1500554438930.0,1340,1500554441114.0,844
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0067-04.pcm,1500554441129.0,1960,1500554443703.0,614
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0079-02.pcm,1500554443735.0,1110,1500554445482.0,637
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0087-04.pcm,1500554445513.0,1390,1500554447619.0,716
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0104-04.pcm,1500554447635.0,1420,1500554449663.0,608
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0105-03.pcm,1500554449694.0,1260,1500554451503.0,549
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0112-03.pcm,1500554451535.0,1480,1500554453656.0,641
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0116-03.pcm,1500554453672.0,1300,1500554455622.0,650
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0119-02.pcm,1500554455653.0,1570,1500554458165.0,942
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0123-04.pcm,1500554458180.0,1510,1500554460302.0,612
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0136-03.pcm,1500554460318.0,1410,1500554463063.0,1335
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0139-05.pcm,1500554463094.0,1640,1500554465590.0,856
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0145-04.pcm,1500554465606.0,1420,1500554467712.0,686
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0146-02.pcm,1500554467743.0,1500,1500554469896.0,653
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0149-03.pcm,1500554469927.0,1820,1500554472564.0,817
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0150-04.pcm,1500554472595.0,2040,1500554475387.0,752
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0168-02.pcm,,,,
