strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1500555184731.0,3910,1500555189567.0,926
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1500555189598.0,1980,1500555193576.0,1998
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1500555193592.0,1240,1500555195714.0,882
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,1500555195729.0,1160,1500555197944.0,1055
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1500555209535.0,1640,1500555211969.0,794
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,1500555211985.0,2580,1500555215557.0,992
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1500555215058.0,1100,1500555216945.0,787
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1500555216555.0,1400,1500555218786.0,831
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1500555218271.0,1880,1500555220830.0,679
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1500555220487.0,1120,1500555222655.0,1048
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1500555222078.0,3290,1500555226149.0,781
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1500555225884.0,1770,1500555228552.0,898
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1500555228146.0,1160,1500555230237.0,931
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1500555229706.0,2960,1500555233403.0,737
