strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/data/AIUI/sr/600/0259-03.pcm,1499656686157.0,3910,1499656691836.0,1769
/data/AIUI/sr/600/0259-04.pcm,1499656691849.0,1980,1499656695437.0,1608
/data/AIUI/sr/600/0339-01.pcm,1499656695448.0,1240,1499656698313.0,1625
/data/AIUI/sr/600/0339-03.pcm,1499656698329.0,1160,1499656701004.0,1515
/data/AIUI/sr/600/0340-01.pcm,1499656701020.0,1240,1499656703523.0,1263
/data/AIUI/sr/600/0340-02.pcm,1499656703539.0,1640,1499656706990.0,1811
/data/AIUI/sr/600/0340-03.pcm,1499656707006.0,2580,1499656713118.0,3532
/data/AIUI/sr/600/0341-01.pcm,1499656713129.0,1100,1499656715632.0,1403
/data/AIUI/sr/600/0341-02.pcm,1499656715641.0,1400,1499656719051.0,2010
/data/AIUI/sr/600/0341-03.pcm,1499656719061.0,1880,1499656722380.0,1439
/data/AIUI/sr/600/0341-04.pcm,1499656722388.0,1120,1499656725167.0,1659
/data/AIUI/sr/600/0169-03.pcm,1499656725175.0,3290,1499656730350.0,1885
/data/AIUI/sr/600/0248-01.pcm,1499656730364.0,1770,1499656733712.0,1578
/data/AIUI/sr/600/0248-02.pcm,1499656733723.0,1160,1499656736351.0,1468
/data/AIUI/sr/600/0248-03.pcm,1499656736366.0,2960,1499656739498.0,172
/data/AIUI/sr/600/0248-04.pcm,,,,
/data/AIUI/sr/600/0249-01.pcm,1499656742513.0,2920,1499656749025.0,3592
/data/AIUI/sr/600/0249-02.pcm,1499656749038.0,1700,1499656752226.0,1488
/data/AIUI/sr/600/0249-04.pcm,1499656752236.0,1970,1499656756271.0,2065
/data/AIUI/sr/600/0250-01.pcm,1499656756278.0,2180,1499656762087.0,3629
/data/AIUI/sr/600/0250-02.pcm,1499656762093.0,2350,1499656765789.0,1346
/data/AIUI/sr/600/0250-03.pcm,1499656765800.0,3100,1499656772703.0,3803
/data/AIUI/sr/600/0250-04.pcm,1499656772709.0,2580,1499656775987.0,698
/data/AIUI/sr/600/0251-01.pcm,1499656776001.0,2270,1499656779976.0,1705
/data/AIUI/sr/600/0251-02.pcm,1499656779983.0,2400,1499656784157.0,1774
/data/AIUI/sr/600/0251-03.pcm,1499656784173.0,2380,1499656788382.0,1829
/data/AIUI/sr/600/0251-04.pcm,1499656788394.0,1840,1499656791601.0,1367
/data/AIUI/sr/600/0251-05.pcm,1499656791619.0,1780,1499656794929.0,1530
