strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/data/AIUI/sr/600/0259-03.pcm,1499920901284.0,3910,1499920906041.0,847
/data/AIUI/sr/600/0259-04.pcm,1499920906054.0,1980,1499920909198.0,1164
/data/AIUI/sr/600/0339-01.pcm,1499920909210.0,1240,1499920911648.0,1198
/data/AIUI/sr/600/0339-03.pcm,,,,
/data/AIUI/sr/600/0340-01.pcm,1499920923257.0,1240,1499920925273.0,776
/data/AIUI/sr/600/0340-02.pcm,,,,
/data/AIUI/sr/600/0340-03.pcm,,,,
/data/AIUI/sr/600/0341-01.pcm,1499920950560.0,1100,1499920952281.0,621
/data/AIUI/sr/600/0341-02.pcm,,,,
/data/AIUI/sr/600/0341-03.pcm,1499920964103.0,1880,1499920966614.0,631
/data/AIUI/sr/600/0341-04.pcm,,,,
/data/AIUI/sr/600/0169-03.pcm,1499920978290.0,3290,1499920982265.0,685
/data/AIUI/sr/600/0248-01.pcm,,,,
/data/AIUI/sr/600/0248-02.pcm,,,,
/data/AIUI/sr/600/0248-03.pcm,1499921006261.0,2960,1499921008573.0,
/data/AIUI/sr/600/0248-04.pcm,,,,
/data/AIUI/sr/600/0249-01.pcm,1499921012407.0,2920,1499921019363.0,4036
/data/AIUI/sr/600/0249-02.pcm,1499921019377.0,1700,1499921020499.0,
/data/AIUI/sr/600/0249-04.pcm,1499921021574.0,1970,1499921022812.0,
/data/AIUI/sr/600/0250-01.pcm,1499921024090.0,2180,1499921025881.0,
/data/AIUI/sr/600/0250-02.pcm,1499921026827.0,2350,1499921029941.0,764
/data/AIUI/sr/600/0250-03.pcm,1499921029756.0,3100,1499921034533.0,1677
/data/AIUI/sr/600/0250-04.pcm,1499921033575.0,2580,1499921036813.0,658
/data/AIUI/sr/600/0251-01.pcm,,,,
/data/AIUI/sr/600/0251-02.pcm,1499921039658.0,2400,1499921040708.0,
/data/AIUI/sr/600/0251-03.pcm,1499921042565.0,2380,1499921045961.0,1016
/data/AIUI/sr/600/0251-04.pcm,1499921045502.0,1840,1499921048051.0,709
/data/AIUI/sr/600/0251-05.pcm,1499921047828.0,1780,1499921050237.0,629
/data/AIUI/sr/600/0252-01.pcm,1499921050086.0,2320,1499921053354.0,948
/data/AIUI/sr/600/0253-01.pcm,1499921052924.0,1700,1499921056004.0,1380
/data/AIUI/sr/600/0253-02.pcm,1499921055104.0,1320,1499921057238.0,814
/data/AIUI/sr/600/0339-02.pcm,1499921056791.0,1620,1499921059221.0,810
/data/AIUI/sr/600/0342-01.pcm,1499921058800.0,1060,1499921060671.0,811
/data/AIUI/sr/600/0342-02.pcm,1499921060227.0,1820,1499921062638.0,591
/data/AIUI/sr/600/0009-02.pcm,1499921062423.0,1220,1499921064302.0,659
/data/AIUI/sr/600/0025-03.pcm,1499921064040.0,1440,1499921066688.0,1208
/data/AIUI/sr/600/0046-03.pcm,1499921065887.0,1270,1499921067960.0,803
/data/AIUI/sr/600/0065-04.pcm,1499921067503.0,1340,1499921070321.0,1478
/data/AIUI/sr/600/0067-04.pcm,1499921069442.0,1960,1499921072039.0,637
/data/AIUI/sr/600/0079-02.pcm,1499921071899.0,1110,1499921073782.0,773
/data/AIUI/sr/600/0087-04.pcm,1499921073328.0,1390,1499921075639.0,921
/data/AIUI/sr/600/0104-04.pcm,1499921075217.0,1420,1499921077672.0,1035
/data/AIUI/sr/600/0105-03.pcm,1499921077063.0,1260,1499921079107.0,784
/data/AIUI/sr/600/0112-03.pcm,1499921078650.0,1480,1499921080940.0,810
/data/AIUI/sr/600/0116-03.pcm,1499921080548.0,1300,1499921082501.0,653
/data/AIUI/sr/600/0119-02.pcm,1499921082255.0,1570,1499921084533.0,708
/data/AIUI/sr/600/0123-04.pcm,1499921084301.0,1510,1499921086482.0,671
/data/AIUI/sr/600/0136-03.pcm,1499921086260.0,1410,1499921088356.0,686
/data/AIUI/sr/600/0139-05.pcm,1499921088167.0,1640,1499921091151.0,1344
/data/AIUI/sr/600/0145-04.pcm,1499921090213.0,1420,1499921092697.0,1064
/data/AIUI/sr/600/0146-02.pcm,1499921091942.0,1500,1499921094682.0,1240
/data/AIUI/sr/600/0149-03.pcm,1499921093874.0,1820,1499921097023.0,1329
/data/AIUI/sr/600/0150-04.pcm,1499921096040.0,2040,1499921098887.0,807
/data/AIUI/sr/600/0168-02.pcm,1499921098531.0,1800,1499921101755.0,1424
/data/AIUI/sr/600/0349-01.pcm,1499921100848.0,1700,1499921103295.0,747
/data/AIUI/sr/600/0349-02.pcm,1499921102935.0,1880,1499921105689.0,874
/data/AIUI/sr/600/0349-03.pcm,1499921105223.0,1880,1499921108265.0,1162
/data/AIUI/sr/600/0349-04.pcm,1499921107439.0,1700,1499921110182.0,1043
/data/AIUI/sr/600/0349-05.pcm,1499921109408.0,860,1499921111554.0,1286
