strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1499612225529.0,3910,1499612230084.0,645
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1499612230100.0,1980,1499612233688.0,1608
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1499612233719.0,1240,1499612236465.0,1506
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,1499612236496.0,1160,1499612239054.0,1398
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,1499612239085.0,1240,1499612241737.0,1412
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1499612241800.0,1640,1499612245107.0,1667
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,1499612245123.0,2580,1499612249350.0,1647
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1499612249413.0,1100,1499612251893.0,1380
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1499612251909.0,1400,1499612255013.0,1704
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1499612255060.0,1880,1499612258227.0,1287
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1499612258258.0,1120,1499612260832.0,1454
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1499612260910.0,3290,1499612265574.0,1374
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1499612265606.0,1770,1499612269038.0,1662
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1499612269084.0,1160,1499612271690.0,1446
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1499612271721.0,2960,1499612275028.0,347
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-04.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-01.pcm,1499612278070.0,2920,1499612284575.0,3585
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-02.pcm,1499612284669.0,1700,1499612287992.0,1623
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-04.pcm,1499612288023.0,1970,1499612291845.0,1852
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-01.pcm,1499612291876.0,2180,1499612295792.0,1736
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-02.pcm,1499612295807.0,2350,1499612299598.0,1441
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-03.pcm,1499612299629.0,3100,1499612306478.0,3749
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-04.pcm,1499612306509.0,2580,1499612309801.0,712
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-01.pcm,,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-02.pcm,1499612312749.0,2400,1499612316914.0,1765
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-03.pcm,1499612316961.0,2380,1499612322952.0,3611
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-04.pcm,1499612322998.0,1840,1499612326181.0,1343
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-05.pcm,1499612326212.0,1780,1499612329363.0,1371
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-01.pcm,1499612329394.0,2320,1499612335322.0,3608
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-01.pcm,1499612335416.0,1700,1499612338739.0,1623
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-02.pcm,1499612338770.0,1320,1499612341469.0,1379
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-02.pcm,1499612341516.0,1620,1499612344480.0,1344
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-01.pcm,1499612344526.0,1060,1499612346991.0,1405
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-02.pcm,1499612347038.0,1820,1499612352327.0,3469
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-02.pcm,1499612352405.0,1220,1499612355291.0,1666
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-03.pcm,1499612355337.0,1440,1499612358114.0,1337
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0046-03.pcm,1499612358145.0,1270,1499612362825.0,3410
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0065-04.pcm,1499612362919.0,1340,1499612365930.0,1671
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0067-04.pcm,1499612365961.0,1960,1499612369268.0,1347
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0079-02.pcm,1499612369362.0,1110,1499612371858.0,1386
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0087-04.pcm,1499612371889.0,1390,1499612374681.0,1402
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0104-04.pcm,1499612374791.0,1420,1499612377583.0,1372
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0105-03.pcm,1499612377599.0,1260,1499612380173.0,1314
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0112-03.pcm,1499612380219.0,1480,1499612383059.0,1360
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0116-03.pcm,1499612383090.0,1300,1499612387817.0,3427
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0119-02.pcm,1499612387910.0,1570,1499612391124.0,1644
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0123-04.pcm,1499612391202.0,1510,1499612394104.0,1392
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0136-03.pcm,1499612394150.0,1410,1499612396974.0,1414
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0139-05.pcm,1499612397021.0,1640,1499612400328.0,1667
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0145-04.pcm,1499612400359.0,1420,1499612403448.0,1669
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0146-02.pcm,1499612403479.0,1500,1499612408518.0,3539
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0149-03.pcm,1499612408627.0,1820,1499612412059.0,1612
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0150-04.pcm,1499612412090.0,2040,1499612415803.0,1673
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0168-02.pcm,1499612415835.0,1800,1499612419345.0,1710
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-01.pcm,1499612419407.0,1700,1499612423026.0,1919
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-02.pcm,1499612423120.0,1880,1499612426458.0,1458
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-03.pcm,1499612426521.0,1880,1499612430062.0,1661
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-04.pcm,1499612430109.0,1700,1499612433478.0,1669
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-05.pcm,1499612433509.0,860,1499612435927.0,1558
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-01.pcm,1499612435959.0,1540,1499612438923.0,1424
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-02.pcm,1499612438969.0,1600,1499612441980.0,1411
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-03.pcm,1499612442011.0,1400,1499612445069.0,1658
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-01.pcm,1499612445116.0,1360,1499612447893.0,1417
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-02.pcm,1499612447955.0,2860,1499612451465.0,650
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-03.pcm,1499612451481.0,1400,1499612454242.0,1361
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-04.pcm,1499612454258.0,800,1499612456644.0,1586
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-02.pcm,1499612456676.0,2390,1499612460435.0,1369
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-03.pcm,1499612460451.0,2150,1499612464538.0,1937
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-04.pcm,1499612464647.0,1420,1499612467533.0,1466
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0208-04.pcm,1499612467549.0,2990,1499612471168.0,629
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-03.pcm,1499612471215.0,3630,1499612475567.0,722
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0254-02.pcm,1499612475630.0,2230,1499612479655.0,1795
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0265-04.pcm,1499612479779.0,5420,1499612485832.0,633
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0370-04.pcm,1499612485879.0,1450,1499612490824.0,3495
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-01.pcm,1499612490871.0,2980,1499612496019.0,2168
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-02.pcm,1499612496237.0,1220,1499612499139.0,1682
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-03.pcm,1499612499404.0,1690,1499612502852.0,1758
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-04.pcm,1499612502867.0,1240,1499612505535.0,1428
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-01.pcm,1499612505551.0,1960,1499612509404.0,1893
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-02.pcm,1499612509560.0,2330,1499612513944.0,2054
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-03.pcm,1499612514115.0,2860,1499612517625.0,650
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-04.pcm,1499612517656.0,1990,1499612518842.0,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-05.pcm,1499612520355.0,1400,1499612523085.0,1330
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-01.pcm,1499612523148.0,2060,1499612527531.0,2323
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-02.pcm,1499612527781.0,2360,1499612533693.0,3552
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-03.pcm,1499612533740.0,2210,1499612536688.0,738
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-01.pcm,1499612536720.0,1900,1499612542008.0,3388
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-02.pcm,1499612542055.0,1600,1499612545612.0,1957
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-03.pcm,1499612546142.0,1520,1499612549247.0,1585
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-04.pcm,1499612549293.0,1730,1499612552679.0,1656
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-01.pcm,1499612553225.0,2140,1499612557312.0,1947
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-02.pcm,1499612557967.0,1850,1499612561352.0,1535
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-03.pcm,1499612561883.0,1910,1499612565299.0,1506
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-04.pcm,1499612565517.0,1680,1499612568513.0,1316
