strAudioPath,text,operation1,operation2,operation equal?(%) 2160/2567=84.14%,service1,service2,service equal?(%) 2246/2567=87.50%,slots1,slots2,slots equal?(%) 2013/2567=78.42%,OnlyInNliResult1,OnlyInNliResult2,ValueDifferent,all equal?(%) 2005/2567=78.11%
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""李玉刚""}}","{""slots"": {""artist"": ""李玉刚""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""新贵妃醉酒""}}","{""slots"": {""song"": ""新贵妃醉酒""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-03.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#artist"": ""李玉刚"", ""song"": ""新贵妃醉酒""}}","{""slots"": {""exclude#artist"": ""李玉刚"", ""song"": ""新贵妃醉酒""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-04.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#song"": ""新贵妃醉酒"", ""artist"": ""吴克羣""}}","{""slots"": {""exclude#song"": ""新贵妃醉酒"", ""artist"": ""吴克羣""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-01.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""artist"": ""尚雯婕""}}",False,,slots.artist: 尚雯婕,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""tags"": ""热歌"", ""artist"": ""尚雯婕""}}","{""slots"": {""artist"": ""尚雯婕"", ""tags"": ""热歌""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""source"": ""个人"", ""song"": ""最终信仰""}}",False,,"slots.song: 最终信仰
slots.source: 个人",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-04.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#artist"": ""霍上""}}","{""slots"": {""exclude#artist"": ""霍上""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-05.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#song"": ""最终信仰"", ""tags"": ""舒服"", ""artist"": ""尚雯婕""}}","{""slots"": {""exclude#song"": ""最终信仰"", ""artist"": ""尚雯婕"", ""tags"": ""舒服""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""genre"": ""慢摇""}}","{""slots"": {""genre"": ""慢摇""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-04.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#artist"": ""DJ""}}","{""slots"": {""exclude#artist"": ""DJ""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""我的历史""}}","{""slots"": {""song"": ""我的历史""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""那就这样吧""}}","{""slots"": {""song"": ""那就这样吧""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-02.pcm,,INSTRUCTION,RANDOM_SEARCH,False,musicX,musicX,True,"{""slots"": {""insType"": ""next""}}","{""slots"": {}}",False,slots.insType: next,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-04.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""lang"": ""英语""}}","{""slots"": {""lang"": ""欧美""}}",False,,,"slots.lang: 英语, 欧美",False
