strAudioPath,text,operation1,operation2,operation equal?(%) 1911/2567=74.44%,service1,service2,service equal?(%) 1962/2567=76.43%,slots1,slots2,slots equal?(%) 1623/2567=63.23%,OnlyInNliResult1,OnlyInNliResult2,ValueDifferent,all equal?(%) 1604/2567=62.49%
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""李玉刚""}}","{""slots"": {""artist"": ""李玉刚""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""新贵妃醉酒""}}",False,,slots.song: 新贵妃醉酒,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""李玉刚"", ""song"": ""新贵妃醉酒""}}",False,,slots.song: 新贵妃醉酒,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#song"": ""新贵妃醉酒"", ""artist"": ""吴克羣""}}",False,,slots.artist: 吴克羣,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""尚雯婕""}}","{""slots"": {""artist"": ""尚雯婕""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""artist"": ""尚雯婕"", ""tags"": ""热歌""}}",False,,"slots.tags: 热歌
slots.artist: 尚雯婕",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""source"": ""个人"", ""song"": ""最终信仰""}}",False,,"slots.source: 个人
slots.song: 最终信仰",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-04.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""judge"": ""exclude"", ""artist"": ""霍上""}}","{""slots"": {""exclude#artist"": ""霍上""}}",False,"slots.judge: exclude
slots.artist: 霍上",,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-05.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#song"": ""最终信仰"", ""artist"": ""尚雯婕"", ""tags"": ""舒服""}}",False,,"slots.tags: 舒服
slots.artist: 尚雯婕",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""慢摇""}}","{""slots"": {""genre"": ""慢摇""}}",False,slots.song: 慢摇,slots.genre: 慢摇,,False
