strAudioPath,text,operation1,operation2,operation equal?(%) 2383/2567=92.83%,service1,service2,service equal?(%) 2476/2567=96.46%,slots1,slots2,slots equal?(%) 2172/2567=84.61%,OnlyInNliResult1,OnlyInNliResult2,ValueDifferent,all equal?(%) 2171/2567=84.57%
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-01.pcm,搜索李玉刚的歌曲,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""李玉刚""}}","{""slots"": {""artist"": ""李玉刚""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-02.pcm,换个新贵妃醉酒,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""新贵妃醉酒""}}","{""slots"": {""song"": ""新贵妃醉酒""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-03.pcm,不要李玉刚唱的,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#artist"": ""李玉刚"", ""song"": ""新贵妃醉酒""}}","{""slots"": {""exclude#artist"": ""李玉刚"", ""song"": ""新贵妃醉酒""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-04.pcm,换他唱的别的歌,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#song"": ""新贵妃醉酒"", ""artist"": ""吴克羣""}}","{""slots"": {""exclude#song"": ""新贵妃醉酒"", ""artist"": ""吴克羣""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-01.pcm,我想点一首尚雯婕的歌,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""尚雯婕""}}","{""slots"": {""artist"": ""尚雯婕""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-03.pcm,换个人唱的这首歌,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""source"": ""个人"", ""song"": ""最终信仰""}}","{""slots"": {""source"": ""个人"", ""song"": ""最终信仰""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-04.pcm,不想听他唱的了,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#artist"": ""霍上""}}","{""slots"": {""exclude#artist"": ""霍上""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-05.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-01.pcm,我想听慢摇的歌曲,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""genre"": ""慢摇""}}","{""slots"": {""genre"": ""慢摇""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-03.pcm,来个英文版的,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-04.pcm,不想听他唱的换个人唱的听听,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#artist"": ""DJ""}}","{""slots"": {""exclude#artist"": ""DJ""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-01.pcm,请播放历史我的小丫小苹果,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-02.pcm,循环播放我的历史歌曲,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""我的历史""}}","{""slots"": {""song"": ""我的历史""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-03.pcm,播放我的历史歌曲中的轻音乐,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-01.pcm,搜索歌曲那就这样吧,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""那就这样吧""}}","{""slots"": {""song"": ""那就这样吧""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-02.pcm,换下一首歌曲,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": {}}","{""slots"": {}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-03.pcm,不想听这个人唱的换个人唱的听听,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-04.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-05.pcm,不想听英文版的了换个轻音乐吧,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#lang"": ""英文""}}","{""slots"": {""exclude#lang"": ""英文""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-01.pcm,爱情买卖,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-02.pcm,换个人唱的,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-03.pcm,dj版的有吗,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""genre"": ""dj""}}","{""slots"": {""genre"": ""dj""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-04.pcm,放个她唱的其他歌,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""exclude#song"": ""爱情买卖"", ""artist"": ""夏婉安""}}","{""slots"": {""exclude#song"": ""爱情买卖"", ""artist"": ""夏婉安""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0007-01.pcm,我要听歌儿,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": {}}","{""slots"": {}}",True,,,,True
