用户说法,user_data
导航去云浮市,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143154179"",""cmd::default"":{""sceneStatus"":""default"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|应用列表""}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""应用列表""]}"
就是位于迎宾路的云浮市,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143157654"",""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|云浮市|距离124|地址云浮市广东省云浮市云城区迎宾路""},""dataInfo"":{""end_poi"":{""poi"":""云浮市"",""lat"":""22.91496976"",""tel"":"""",""area"":""云浮市云城区"",""lng"":""112.0446561""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""云浮市"",""距离124"",""地址云浮市广东省云浮市云城区迎宾路""]}"
搜索迎宾路的云浮市附近的加油站,"{""UserData"":{""serialNo"":""M1AT020102000007_201706011432000"",""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|云浮市|距离124|地址云浮市广东省云浮市云城区迎宾路""},""dataInfo"":{""end_poi"":{""poi"":""云浮市"",""lat"":""22.91496976"",""tel"":"""",""area"":""云浮市云城区"",""lng"":""112.0446561""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""云浮市"",""距离124"",""地址云浮市广东省云浮市云城区迎宾路""]}"
选择距离近的,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143204888"",""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|加油站黄埔大道中|广州市黄埔大道中413号|东圃加油站|广州市中山大道997号|新圃加油站|广州市中山大道中247|东安加油站|广州市中山大道西903|爱德加油站|广州市中山大道中993""},""dataInfo"":{""end_poi"":{""poi"":""加油站(黄埔大道中)"",""lat"":""23.118437"",""tel"":"""",""area"":""广州市天河区"",""lng"":""113.382292""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""加油站黄埔大道中"",""广州市黄埔大道中413号"",""东圃加油站"",""广州市中山大道997号"",""新圃加油站"",""广州市中山大道中247"",""东安加油站"",""广州市中山大道西903"",""爱德加油站"",""广州市中山大道中993""]}"
开始导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143208104"",""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|加油站黄埔大道中|广州市黄埔大道中413号|东圃加油站|广州市中山大道997号|新圃加油站|广州市中山大道中247|东安加油站|广州市中山大道西903|爱德加油站|广州市中山大道中993""},""dataInfo"":{""end_poi"":{""poi"":""加油站(黄埔大道中)"",""lat"":""23.118437"",""tel"":"""",""area"":""广州市天河区"",""lng"":""113.382292""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""加油站黄埔大道中"",""广州市黄埔大道中413号"",""东圃加油站"",""广州市中山大道997号"",""新圃加油站"",""广州市中山大道中247"",""东安加油站"",""广州市中山大道西903"",""爱德加油站"",""广州市中山大道中993""]}"
带我去乐亭南收费站,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143211447"",""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""加油站(黄埔大道中)"",""lat"":""23.118437"",""tel"":"""",""area"":""广州市天河区"",""lng"":""113.382292""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""缩小图面"",""放大图面"",""仅供测试""]}"
取消，搜索离乐亭南收费站附近的理发店,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143214805"",""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|乐亭南收费站012沿海高速入口唐海方向|唐山市乐亭县|乐亭南收费站012沿海高速出口乐亭南方向""},""dataInfo"":{""end_poi"":{""poi"":""乐亭南收费站(s012沿海高速入口唐海方向)"",""lat"":""39.321250"",""tel"":"""",""area"":""唐山市乐亭县"",""lng"":""118.855694""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""乐亭南收费站012沿海高速入口唐海方向"",""唐山市乐亭县"",""乐亭南收费站012沿海高速出口乐亭南方向""]}"
带我去最近的那家,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143218128"",""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|格式美发造型|唐山市乐亭县|名流造型|多多福美容美体养生馆|敬华美发|炫彩美容美发兴旺路""},""dataInfo"":{""end_poi"":{""poi"":""格式美发造型"",""lat"":""39.328750"",""tel"":"""",""area"":""唐山市乐亭县"",""lng"":""118.862188""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""格式美发造型"",""唐山市乐亭县"",""名流造型"",""多多福美容美体养生馆"",""敬华美发"",""炫彩美容美发兴旺路""]}"
导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143221470"",""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|富安娜家纺飞霞北路|距离19|地址温州市飞霞北路317号""},""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""富安娜家纺飞霞北路"",""距离19"",""地址温州市飞霞北路317号""]}"
我要去彭州白鹿镇,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143224775"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|时间最短|8小时34分钟|742公里|红绿灯13个|收费430元|距离最短|8小时48分钟|732公里|开始导航|设置车牌避开南京市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""时间最短"",""8小时34分钟"",""742公里"",""红绿灯13个"",""收费430元"",""距离最短"",""8小时48分钟"",""732公里"",""开始导航"",""设置车牌避开南京市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
