audio_path,audioTag,ResultOrgText,ResultCompareText,ResultOrgLabel,ResultCompareLabel,IsEqual?(%) 1106/2567=43.09%
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0001-01.pcm,1,搜索李玉刚的歌曲,搜索李玉刚的歌曲,搜索李玉刚的歌曲,搜索李玉刚的歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0001-02.pcm,2,,,换个新贵妃醉酒,换个新贵妃醉酒,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0001-03.pcm,3,,,不要李玉刚唱的,不要李玉刚唱的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0001-04.pcm,4,,,换他唱的别的歌,换他唱的别的歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0002-01.pcm,5,我想点一首尚雯婕的歌,我想点一首尚雯婕的歌,我想点一首尚雯婕的歌,我想点一首尚雯婕的歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0002-02.pcm,6,,,想听她的最火的歌,想听她的最火的歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0002-03.pcm,7,换个人唱的这首歌,换个人唱的这首歌,换个人唱的这首歌,换个人唱的这首歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0002-04.pcm,8,不想听他唱的了,不想听他唱的了,不想听他唱的了,不想听他唱的了,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0002-05.pcm,9,,,他还有别的好听的歌吗,他还有别的好听的歌吗,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0003-01.pcm,10,,,我想听慢摇的歌曲,我想听慢摇的歌曲,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0003-02.pcm,11,换一个有歌词的歌曲,换一个有歌词的歌曲,换一个有歌词的歌曲,换一个有歌词的歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0003-03.pcm,12,来个英文版的,来个英文版的,来个英文版的,来个英文版的,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0003-04.pcm,13,,,不想听他唱的，换个人唱的听听,不想听他唱的换个人唱的听听,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0004-01.pcm,14,,,请播放历史我的小丫小苹果,请播放历史我的小丫小苹果,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0004-02.pcm,15,循环播放我的历史歌曲,循环播放我的历史歌曲,循环播放我的历史歌曲,循环播放我的历史歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0004-03.pcm,16,,,播放我的历史歌曲中的轻音乐,播放我的历史歌曲中的轻音乐,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0005-01.pcm,17,,,搜索歌曲那就这样吧,搜索歌曲那就这样吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0005-02.pcm,18,换下一首歌曲,换下一首歌曲,换下一首歌曲,换下一首歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0005-03.pcm,19,,,不想听这个人唱的，换个人唱的听听,不想听这个人唱的换个人唱的听听,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0005-04.pcm,20,,,听英文版的那就这样吧,听英文版的那就这样吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0005-05.pcm,21,,,不想听英文版的了，换个轻音乐吧,不想听英文版的了换个轻音乐吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0006-01.pcm,22,,,爱情买卖,爱情买卖,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0006-02.pcm,23,换个人唱的,换个人唱的,换个人唱的,换个人唱的,TRUE
