strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1500862673841.0,3910,1500862678614.0,863
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1500862678677.0,1980,1500862681297.0,640
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1500862681375.0,1240,1500862683325.0,710
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,1500862683388.0,1160,1500862685151.0,603
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,1500862685197.0,1240,1500862686991.0,554
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1500862687054.0,1640,1500862689347.0,653
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,1500862689394.0,2580,1500862692639.0,665
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1500862692748.0,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1500862704276.0,1400,1500862706273.0,597
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1500862706336.0,1880,1500862708722.0,506
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1500862708785.0,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1500862720422.0,3290,1500862724354.0,642
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1500862724401.0,1770,1500862726897.0,726
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1500862726990.0,1160,1500862728722.0,572
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1500862728800.0,2960,1500862732388.0,628
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-04.pcm,1500862732544.0,1900,1500862735087.0,643
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-01.pcm,1500862735180.0,,,
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-02.pcm,1500862748768.0,1700,1500862751389.0,921
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-04.pcm,1500862751498.0,1970,1500862754509.0,1041
