strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1500876241090.0,3910,1500876249670.0,4670
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1500876248812.0,1980,1500876251667.0,875
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1500876251261.0,1240,1500876253476.0,975
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,1500876253086.0,1160,1500876254974.0,728
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,1500876254646.0,1240,1500876256643.0,757
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1500876256253.0,1640,1500876258718.0,825
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,1500876258359.0,2580,1500876261807.0,868
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1500876261401.0,1100,1500876263289.0,788
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1500876262883.0,1400,1500876265036.0,753
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1500876264599.0,1880,1500876267111.0,632
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1500876266877.0,1120,1500876268843.0,846
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1500876268468.0,3290,1500876272602.0,844
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1500876272290.0,1770,1500876274942.0,882
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1500876274568.0,1160,1500876276502.0,774
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1500876276175.0,2960,1500876280090.0,955
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-04.pcm,1500876279950.0,1900,1500876282742.0,892
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-01.pcm,1500876282461.0,2920,1500876287141.0,1760
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-02.pcm,1500876286034.0,1700,1500876288967.0,1233
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-04.pcm,1500876288249.0,1970,1500876291619.0,1400
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-01.pcm,1500876290823.0,2180,1500876294458.0,1455
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-02.pcm,1500876293569.0,2350,1500876296736.0,817
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-03.pcm,1500876296533.0,3100,1500876301400.0,1767
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-04.pcm,1500876300370.0,2580,1500876303646.0,696
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-01.pcm,1500876303646.0,2270,1500876306876.0,960
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-02.pcm,1500876306548.0,2400,1500876309886.0,938
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-03.pcm,1500876309481.0,2380,1500876312804.0,943
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-04.pcm,1500876312429.0,1840,1500876315066.0,797
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-05.pcm,1500876314847.0,1780,1500876317421.0,794
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-01.pcm,1500876317125.0,2320,1500876320229.0,784
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-01.pcm,1500876319995.0,1700,1500876322554.0,859
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-02.pcm,1500876322226.0,1320,1500876324457.0,911
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-02.pcm,1500876323942.0,1620,1500876326329.0,767
