strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-03.pcm,1500795520934.0,3910,1500795525661.0,817
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0259-04.pcm,1500795525785.0,1980,1500795528297.0,532
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-01.pcm,1500795528453.0,1240,1500795530356.0,663
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-03.pcm,1500795530450.0,1160,1500795532072.0,462
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-01.pcm,1500795532166.0,1240,1500795533898.0,492
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-02.pcm,1500795534444.0,1640,1500795536628.0,544
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0340-03.pcm,1500795536674.0,2580,1500795539857.0,603
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-01.pcm,1500795539919.0,1100,1500795541542.0,523
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-02.pcm,1500795541651.0,1400,1500795547470.0,4419
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-03.pcm,1500795547532.0,1880,1500795549919.0,507
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0341-04.pcm,1500795549950.0,1120,1500795551650.0,580
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0169-03.pcm,1500795551728.0,3290,1500795555613.0,595
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-01.pcm,1500795555660.0,1770,1500795558015.0,585
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-02.pcm,1500795558093.0,1160,1500795559763.0,510
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-03.pcm,1500795559872.0,2960,1500795563538.0,706
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0248-04.pcm,1500795563600.0,1900,1500795566143.0,643
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-01.pcm,1500795566205.0,2920,1500795569700.0,575
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-02.pcm,1500795569793.0,1700,1500795572087.0,594
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-04.pcm,1500795572180.0,1970,1500795574785.0,635
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-01.pcm,1500795574895.0,2180,1500795577734.0,659
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-02.pcm,1500795577796.0,2350,1500795580776.0,630
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-03.pcm,1500795580869.0,3100,1500795584769.0,800
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0250-04.pcm,1500795584879.0,2580,1500795588045.0,586
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-01.pcm,1500795588170.0,2270,1500795591088.0,648
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-02.pcm,1500795591166.0,2400,1500795594161.0,595
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-03.pcm,1500795594208.0,2380,1500795597250.0,662
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-04.pcm,1500795597390.0,1840,1500795599808.0,578
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0251-05.pcm,1500795599855.0,1780,1500795602210.0,575
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-01.pcm,1500795602320.0,2320,1500795605252.0,612
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-01.pcm,1500795605393.0,1700,1500795607670.0,577
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0253-02.pcm,1500795607748.0,1320,1500795609589.0,521
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0339-02.pcm,1500795609652.0,1620,1500795611836.0,564
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-01.pcm,1500795611914.0,1060,1500795613489.0,515
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0342-02.pcm,1500795613552.0,1820,1500795615860.0,488
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-02.pcm,1500795616016.0,1220,1500795617795.0,559
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-03.pcm,1500795617857.0,1440,1500795619807.0,510
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0046-03.pcm,1500795619901.0,1270,1500795621679.0,508
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0065-04.pcm,1500795621804.0,1340,1500795623848.0,704
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0067-04.pcm,1500795623973.0,1960,1500795626500.0,567
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0079-02.pcm,1500795626562.0,1110,1500795628216.0,544
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0087-04.pcm,1500795628325.0,1390,1500795630322.0,607
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0104-04.pcm,1500795630431.0,1420,1500795632381.0,530
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0105-03.pcm,1500795632475.0,1260,1500795634175.0,440
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0112-03.pcm,1500795634284.0,1480,1500795636359.0,595
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0116-03.pcm,1500795636453.0,1300,1500795638278.0,525
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0119-02.pcm,1500795638387.0,1570,1500795640540.0,583
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0123-04.pcm,1500795640633.0,1510,1500795642724.0,581
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0136-03.pcm,1500795642802.0,1410,1500795644799.0,587
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0139-05.pcm,1500795644908.0,1640,1500795647061.0,513
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0145-04.pcm,1500795647123.0,1420,1500795649026.0,483
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0146-02.pcm,1500795649120.0,1500,1500795651148.0,528
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0149-03.pcm,1500795651226.0,1820,1500795653566.0,520
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0150-04.pcm,1500795653613.0,2040,1500795656218.0,565
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0168-02.pcm,1500795656327.0,1800,1500795658776.0,649
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-01.pcm,1500795658948.0,1700,1500795661194.0,546
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-02.pcm,1500795661382.0,1880,1500795663768.0,506
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-03.pcm,1500795663846.0,1880,1500795666218.0,492
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-04.pcm,1500795666280.0,1700,1500795668402.0,422
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0349-05.pcm,1500795668464.0,860,1500795669837.0,513
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-01.pcm,1500795669868.0,1540,1500795671943.0,535
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-02.pcm,1500795672083.0,1600,1500795674158.0,475
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0350-03.pcm,1500795674267.0,1400,1500795676170.0,503
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-01.pcm,1500795676233.0,1360,1500795678105.0,512
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-02.pcm,1500795678214.0,2860,1500795681740.0,666
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-03.pcm,1500795681833.0,1400,1500795683690.0,457
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0351-04.pcm,1500795683737.0,800,1500795684969.0,432
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-02.pcm,1500795685172.0,2390,1500795688058.0,496
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-03.pcm,1500795688105.0,2150,1500795690897.0,642
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0174-04.pcm,1500795691037.0,1420,1500795693050.0,593
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0208-04.pcm,1500795693159.0,2990,1500795696716.0,567
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0249-03.pcm,1500795696872.0,3630,1500795701193.0,691
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0254-02.pcm,1500795701318.0,2230,1500795704157.0,609
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0265-04.pcm,1500795704282.0,5420,1500795710366.0,664
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0370-04.pcm,1500795710444.0,1450,1500795712441.0,547
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-01.pcm,1500795712519.0,2980,1500795716169.0,670
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-02.pcm,1500795716232.0,1220,1500795717932.0,480
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-03.pcm,1500795717994.0,1690,1500795720225.0,541
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0390-04.pcm,1500795720272.0,1240,1500795722004.0,492
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-01.pcm,1500795722113.0,1960,1500795724780.0,707
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-02.pcm,1500795724936.0,2330,1500795727916.0,650
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-03.pcm,1500795728025.0,2860,1500795731520.0,635
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-04.pcm,1500795731629.0,1990,1500795734265.0,646
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0391-05.pcm,1500795734343.0,1400,1500795736215.0,472
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-01.pcm,1500795736309.0,2060,1500795738961.0,592
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-02.pcm,1500795739101.0,2360,1500795742050.0,589
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0392-03.pcm,1500795742174.0,2210,1500795745185.0,801
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-01.pcm,1500795745248.0,1900,1500795747619.0,471
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-02.pcm,1500795747697.0,1600,1500795749709.0,412
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-03.pcm,1500795749756.0,1520,1500795751706.0,430
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0001-04.pcm,1500795751784.0,1730,1500795754046.0,532
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-01.pcm,1500795754124.0,2140,1500795756776.0,512
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-02.pcm,1500795756901.0,1850,1500795759241.0,490
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-03.pcm,1500795759335.0,1910,1500795761799.0,554
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-04.pcm,1500795761909.0,1680,1500795764077.0,488
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0002-05.pcm,1500795764186.0,2030,1500795766729.0,513
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-01.pcm,1500795766823.0,1980,1500795769365.0,562
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-02.pcm,1500795769428.0,1980,1500795771939.0,531
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-03.pcm,1500795772017.0,1350,1500795773843.0,476
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-04.pcm,1500795773936.0,2760,1500795777415.0,719
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-01.pcm,1500795777446.0,2700,1500795780816.0,670
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-02.pcm,1500795780863.0,2250,1500795783702.0,589
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-03.pcm,1500795783827.0,2690,1500795787134.0,617
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-01.pcm,1500795787212.0,1860,1500795789661.0,589
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-02.pcm,1500795789724.0,1590,1500795791814.0,500
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-03.pcm,1500795791923.0,2920,1500795795418.0,575
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-04.pcm,1500795795449.0,2010,1500795798054.0,595
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0155-02.pcm,1500795798179.0,2590,1500795801361.0,592
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0155-03.pcm,1500795801439.0,3920,1500795805948.0,589
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0155-04.pcm,1500795806057.0,1960,1500795808553.0,536
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0325-01.pcm,1500795808678.0,1860,1500795811080.0,542
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0325-02.pcm,1500795811174.0,2310,1500795814091.0,607
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0326-01.pcm,1500795814200.0,1320,1500795816041.0,521
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0327-01.pcm,1500795816088.0,1370,1500795817913.0,455
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0327-02.pcm,1500795818007.0,2250,1500795820799.0,542
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0327-03.pcm,1500795820908.0,1820,1500795823233.0,505
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0327-04.pcm,1500795823357.0,1960,1500795825838.0,521
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0328-01.pcm,1500795825931.0,3220,1500795829722.0,571
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0328-02.pcm,1500795829785.0,1770,1500795832109.0,554
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0328-03.pcm,1500795832156.0,1240,1500795833841.0,445
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0328-04.pcm,1500795833950.0,2140,1500795836617.0,527
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0329-01.pcm,1500795836695.0,1280,1500795838489.0,514
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0329-02.pcm,1500795838599.0,2080,1500795841157.0,478
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0353-02.pcm,1500795841313.0,2040,1500795843872.0,519
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0131-02.pcm,1500795843918.0,3350,1500795847865.0,597
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0131-03.pcm,1500795847943.0,1760,1500795850112.0,409
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0136-04.pcm,1500795850190.0,3010,1500795853824.0,624
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-02.pcm,1500795853949.0,2560,1500795857132.0,623
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-03.pcm,1500795857319.0,2110,1500795860049.0,620
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0252-05.pcm,1500795860142.0,1720,1500795862560.0,698
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0275-01.pcm,1500795862732.0,1460,1500795864713.0,521
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0275-03.pcm,1500795864807.0,1460,1500795866788.0,521
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0275-04.pcm,1500795866866.0,1860,1500795869253.0,527
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0309-01.pcm,1500795869471.0,2190,1500795872217.0,556
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0309-03.pcm,1500795872264.0,1480,1500795874261.0,517
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0310-01.pcm,1500795874339.0,1200,1500795876086.0,547
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0310-02.pcm,1500795876164.0,1980,1500795878722.0,578
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0310-03.pcm,1500795878816.0,900,1500795880282.0,566
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0311-01.pcm,1500795880376.0,1200,1500795882076.0,500
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0311-02.pcm,1500795882232.0,1660,1500795884416.0,524
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0312-01.pcm,1500795884510.0,1220,1500795886257.0,527
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0312-02.pcm,1500795886366.0,1520,1500795888410.0,524
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0312-03.pcm,1500795888472.0,1240,1500795890235.0,523
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0313-01.pcm,1500795890375.0,1540,1500795892403.0,488
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0343-01.pcm,1500795892497.0,1160,1500795894229.0,572
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0343-02.pcm,1500795894338.0,1820,1500795897052.0,894
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0343-04.pcm,1500795897146.0,860,1500795898534.0,528
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0344-01.pcm,1500795898706.0,980,1500795900219.0,533
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0344-02.pcm,1500795900328.0,1780,1500795902668.0,560
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0344-03.pcm,1500795902731.0,2980,1500795906319.0,608
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0344-04.pcm,1500795906444.0,980,1500795907926.0,502
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0352-01.pcm,1500795908035.0,3060,1500795911670.0,575
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0352-02.pcm,1500795911514.0,2020,1500795914134.0,600
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0353-01.pcm,1500795914041.0,2320,1500795916911.0,550
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0354-01.pcm,1500795916833.0,2100,1500795919407.0,474
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0354-02.pcm,1500795919329.0,2220,1500795922075.0,526
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0354-03.pcm,1500795922028.0,2050,1500795924680.0,602
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0355-01.pcm,1500795924586.0,1220,1500795926334.0,528
