strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/sdcard/taojianTest/pcm/sr/600/0259-03.pcm,1540859301961.0,3910,1540859306741.0,870
/sdcard/taojianTest/pcm/sr/600/0259-04.pcm,1540859306745.0,1980,1540859309450.0,725
/sdcard/taojianTest/pcm/sr/600/0339-01.pcm,1540859309457.0,1240,1540859311533.0,836
/sdcard/taojianTest/pcm/sr/600/0339-03.pcm,1540859311539.0,1160,1540859313524.0,825
/sdcard/taojianTest/pcm/sr/600/0340-01.pcm,1540859313527.0,1240,1540859315475.0,708
/sdcard/taojianTest/pcm/sr/600/0340-02.pcm,1540859315476.0,1640,1540859317871.0,755
/sdcard/taojianTest/pcm/sr/600/0340-03.pcm,1540859317879.0,2580,1540859321239.0,780
/sdcard/taojianTest/pcm/sr/600/0341-01.pcm,1540859321249.0,1100,1540859323173.0,824
/sdcard/taojianTest/pcm/sr/600/0341-02.pcm,1540859323176.0,1400,1540859325251.0,675
/sdcard/taojianTest/pcm/sr/600/0341-03.pcm,1540859325257.0,1880,1540859327871.0,734
/sdcard/taojianTest/pcm/sr/600/0341-04.pcm,1540859327879.0,1120,1540859329792.0,793
/sdcard/taojianTest/pcm/sr/600/0169-03.pcm,1540859329796.0,3290,1540859333910.0,824
/sdcard/taojianTest/pcm/sr/600/0248-01.pcm,1540859333914.0,1770,1540859336459.0,775
/sdcard/taojianTest/pcm/sr/600/0248-02.pcm,1540859336469.0,1160,1540859338414.0,785
/sdcard/taojianTest/pcm/sr/600/0248-03.pcm,1540859338423.0,2960,1540859342341.0,958
/sdcard/taojianTest/pcm/sr/600/0248-04.pcm,1540859342348.0,1900,1540859345140.0,892
/sdcard/taojianTest/pcm/sr/600/0249-01.pcm,1540859345146.0,2920,1540859349226.0,1160
/sdcard/taojianTest/pcm/sr/600/0249-02.pcm,1540859349235.0,1700,1540859351746.0,811
/sdcard/taojianTest/pcm/sr/600/0249-04.pcm,1540859351751.0,1970,1540859354563.0,842
/sdcard/taojianTest/pcm/sr/600/0250-01.pcm,1540859354566.0,2180,1540859357650.0,904
/sdcard/taojianTest/pcm/sr/600/0250-02.pcm,1540859357659.0,2350,1540859360881.0,872
/sdcard/taojianTest/pcm/sr/600/0250-03.pcm,1540859360884.0,3100,1540859364961.0,977
/sdcard/taojianTest/pcm/sr/600/0250-04.pcm,1540859364971.0,2580,1540859368463.0,912
/sdcard/taojianTest/pcm/sr/600/0251-01.pcm,1540859368469.0,2270,1540859371635.0,896
/sdcard/taojianTest/pcm/sr/600/0251-02.pcm,1540859371635.0,2400,1540859374796.0,761
/sdcard/taojianTest/pcm/sr/600/0251-03.pcm,1540859374800.0,2380,1540859378188.0,1008
/sdcard/taojianTest/pcm/sr/600/0251-04.pcm,1540859378197.0,1840,1540859380812.0,775
/sdcard/taojianTest/pcm/sr/600/0251-05.pcm,1540859380822.0,1780,1540859383351.0,749
/sdcard/taojianTest/pcm/sr/600/0252-01.pcm,1540859383360.0,2320,1540859386502.0,822
/sdcard/taojianTest/pcm/sr/600/0253-01.pcm,1540859386508.0,1700,1540859389006.0,798
/sdcard/taojianTest/pcm/sr/600/0253-02.pcm,1540859389016.0,1320,1540859391013.0,677
/sdcard/taojianTest/pcm/sr/600/0339-02.pcm,1540859391019.0,1620,1540859393368.0,729
/sdcard/taojianTest/pcm/sr/600/0342-01.pcm,1540859393376.0,1060,1540859395136.0,700
/sdcard/taojianTest/pcm/sr/600/0342-02.pcm,1540859395143.0,1820,1540859397683.0,720
/sdcard/taojianTest/pcm/sr/600/0009-02.pcm,1540859397686.0,1220,1540859399664.0,758
/sdcard/taojianTest/pcm/sr/600/0025-03.pcm,1540859399673.0,1440,1540859401857.0,744
/sdcard/taojianTest/pcm/sr/600/0046-03.pcm,1540859401860.0,1270,1540859403890.0,760
/sdcard/taojianTest/pcm/sr/600/0065-04.pcm,1540859403899.0,1340,1540859406155.0,916
/sdcard/taojianTest/pcm/sr/600/0067-04.pcm,1540859406161.0,1960,1540859408961.0,840
/sdcard/taojianTest/pcm/sr/600/0079-02.pcm,1540859408969.0,1110,1540859410731.0,652
/sdcard/taojianTest/pcm/sr/600/0087-04.pcm,1540859410741.0,1390,1540859413125.0,994
/sdcard/taojianTest/pcm/sr/600/0104-04.pcm,1540859413133.0,1420,1540859415272.0,719
/sdcard/taojianTest/pcm/sr/600/0105-03.pcm,1540859415278.0,1260,1540859417221.0,683
/sdcard/taojianTest/pcm/sr/600/0112-03.pcm,1540859417225.0,1480,1540859419467.0,762
/sdcard/taojianTest/pcm/sr/600/0116-03.pcm,1540859419469.0,1300,1540859421503.0,734
/sdcard/taojianTest/pcm/sr/600/0119-02.pcm,1540859421511.0,1570,1540859423772.0,691
/sdcard/taojianTest/pcm/sr/600/0123-04.pcm,1540859423773.0,1510,1540859426008.0,725
/sdcard/taojianTest/pcm/sr/600/0136-03.pcm,1540859426018.0,1410,1540859428346.0,918
/sdcard/taojianTest/pcm/sr/600/0139-05.pcm,1540859428356.0,1640,1540859430708.0,712
/sdcard/taojianTest/pcm/sr/600/0145-04.pcm,1540859430713.0,1420,1540859432964.0,831
/sdcard/taojianTest/pcm/sr/600/0146-02.pcm,1540859432970.0,1500,1540859435195.0,725
/sdcard/taojianTest/pcm/sr/600/0149-03.pcm,1540859435205.0,1820,1540859437731.0,706
/sdcard/taojianTest/pcm/sr/600/0150-04.pcm,1540859437732.0,2040,1540859440483.0,711
/sdcard/taojianTest/pcm/sr/600/0168-02.pcm,1540859440492.0,1800,1540859443235.0,943
/sdcard/taojianTest/pcm/sr/600/0349-01.pcm,1540859443240.0,1700,1540859445776.0,836
/sdcard/taojianTest/pcm/sr/600/0349-02.pcm,1540859445784.0,1880,1540859448501.0,837
/sdcard/taojianTest/pcm/sr/600/0349-03.pcm,1540859448511.0,1880,1540859451159.0,768
/sdcard/taojianTest/pcm/sr/600/0349-04.pcm,1540859451165.0,1700,1540859453625.0,760
/sdcard/taojianTest/pcm/sr/600/0349-05.pcm,1540859453635.0,860,1540859455272.0,777
/sdcard/taojianTest/pcm/sr/600/0350-01.pcm,1540859455282.0,1540,1540859458100.0,1278
/sdcard/taojianTest/pcm/sr/600/0350-02.pcm,1540859458105.0,1600,1540859460741.0,1036
/sdcard/taojianTest/pcm/sr/600/0350-03.pcm,1540859460749.0,1400,1540859463101.0,952
/sdcard/taojianTest/pcm/sr/600/0351-01.pcm,1540859463103.0,1360,1540859465235.0,772
/sdcard/taojianTest/pcm/sr/600/0351-02.pcm,1540859465241.0,2860,1540859468900.0,799
/sdcard/taojianTest/pcm/sr/600/0351-03.pcm,1540859468904.0,1400,1540859470975.0,671
/sdcard/taojianTest/pcm/sr/600/0351-04.pcm,1540859470980.0,800,1540859472572.0,792
/sdcard/taojianTest/pcm/sr/600/0174-02.pcm,1540859472582.0,2390,1540859475682.0,710
/sdcard/taojianTest/pcm/sr/600/0174-03.pcm,1540859475691.0,2150,1540859478980.0,1139
/sdcard/taojianTest/pcm/sr/600/0174-04.pcm,1540859478985.0,1420,1540859481197.0,792
/sdcard/taojianTest/pcm/sr/600/0208-04.pcm,1540859481199.0,2990,1540859485109.0,920
/sdcard/taojianTest/pcm/sr/600/0249-03.pcm,1540859485114.0,3630,1540859490194.0,1450
/sdcard/taojianTest/pcm/sr/600/0254-02.pcm,1540859490203.0,2230,1540859493510.0,1077
/sdcard/taojianTest/pcm/sr/600/0265-04.pcm,1540859493513.0,5420,1540859495763.0,
/sdcard/taojianTest/pcm/sr/600/0370-04.pcm,1540859499594.0,1450,1540859501905.0,861
