strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/sdcard/taojianTest/pcm/sr/600/0259-03.pcm,1540858568596.0,3910,1540858574219.0,1713
/sdcard/taojianTest/pcm/sr/600/0259-04.pcm,1540858574230.0,1980,1540858577268.0,1058
/sdcard/taojianTest/pcm/sr/600/0339-01.pcm,1540858577272.0,1240,1540858579877.0,1365
/sdcard/taojianTest/pcm/sr/600/0339-03.pcm,1540858579882.0,1160,1540858582341.0,1299
/sdcard/taojianTest/pcm/sr/600/0340-01.pcm,1540858582349.0,1240,1540858584974.0,1385
/sdcard/taojianTest/pcm/sr/600/0340-02.pcm,1540858584981.0,1640,1540858587809.0,1188
/sdcard/taojianTest/pcm/sr/600/0340-03.pcm,1540858587811.0,2580,1540858591856.0,1465
/sdcard/taojianTest/pcm/sr/600/0341-01.pcm,1540858591863.0,1100,1540858594040.0,1077
/sdcard/taojianTest/pcm/sr/600/0341-02.pcm,1540858594043.0,1400,1540858596780.0,1337
/sdcard/taojianTest/pcm/sr/600/0341-03.pcm,1540858596790.0,1880,1540858600069.0,1399
/sdcard/taojianTest/pcm/sr/600/0341-04.pcm,1540858600073.0,1120,1540858602497.0,1304
/sdcard/taojianTest/pcm/sr/600/0169-03.pcm,1540858602505.0,3290,1540858606770.0,975
/sdcard/taojianTest/pcm/sr/600/0248-01.pcm,1540858606771.0,1770,1540858609539.0,998
/sdcard/taojianTest/pcm/sr/600/0248-02.pcm,1540858609549.0,1160,1540858611950.0,1241
/sdcard/taojianTest/pcm/sr/600/0248-03.pcm,1540858611950.0,2960,1540858615980.0,1070
/sdcard/taojianTest/pcm/sr/600/0248-04.pcm,1540858615986.0,1900,1540858618950.0,1064
/sdcard/taojianTest/pcm/sr/600/0249-01.pcm,1540858618958.0,2920,1540858622960.0,1082
/sdcard/taojianTest/pcm/sr/600/0249-02.pcm,1540858622965.0,1700,1540858625635.0,970
/sdcard/taojianTest/pcm/sr/600/0249-04.pcm,1540858625642.0,1970,1540858628850.0,1238
/sdcard/taojianTest/pcm/sr/600/0250-01.pcm,1540858628855.0,2180,1540858632325.0,1290
/sdcard/taojianTest/pcm/sr/600/0250-02.pcm,1540858632335.0,2350,1540858635689.0,1004
/sdcard/taojianTest/pcm/sr/600/0250-03.pcm,1540858635691.0,3100,1540858640191.0,1400
/sdcard/taojianTest/pcm/sr/600/0250-04.pcm,1540858640192.0,2580,1540858643882.0,1110
/sdcard/taojianTest/pcm/sr/600/0251-01.pcm,1540858643891.0,2270,1540858647295.0,1134
