strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/sdcard/taojianTest/pcm/sr/600/0259-03.pcm,1540859970177.0,3910,1540859975893.0,1806
/sdcard/taojianTest/pcm/sr/600/0259-04.pcm,1540859975895.0,1980,1540859979171.0,1296
/sdcard/taojianTest/pcm/sr/600/0339-01.pcm,1540859979175.0,1240,1540859981335.0,920
/sdcard/taojianTest/pcm/sr/600/0339-03.pcm,1540859981339.0,1160,1540859983389.0,890
/sdcard/taojianTest/pcm/sr/600/0340-01.pcm,1540859983393.0,1240,1540859985497.0,864
/sdcard/taojianTest/pcm/sr/600/0340-02.pcm,1540859985504.0,1640,1540859988747.0,1603
/sdcard/taojianTest/pcm/sr/600/0340-03.pcm,1540859988751.0,2580,1540859992247.0,916
/sdcard/taojianTest/pcm/sr/600/0341-01.pcm,1540859992253.0,1100,1540859994913.0,1560
/sdcard/taojianTest/pcm/sr/600/0341-02.pcm,1540859994914.0,1400,1540859997161.0,847
/sdcard/taojianTest/pcm/sr/600/0341-03.pcm,1540859997171.0,1880,1540859999852.0,801
/sdcard/taojianTest/pcm/sr/600/0341-04.pcm,1540859999857.0,1120,1540860002012.0,1035
/sdcard/taojianTest/pcm/sr/600/0169-03.pcm,1540860002023.0,3290,1540860006442.0,1129
/sdcard/taojianTest/pcm/sr/600/0248-01.pcm,1540860006447.0,1770,1540860009241.0,1024
/sdcard/taojianTest/pcm/sr/600/0248-02.pcm,1540860009247.0,1160,1540860011375.0,968
/sdcard/taojianTest/pcm/sr/600/0248-03.pcm,1540860011383.0,2960,1540860015656.0,1313
/sdcard/taojianTest/pcm/sr/600/0248-04.pcm,1540860015659.0,1900,1540860019012.0,1453
/sdcard/taojianTest/pcm/sr/600/0249-01.pcm,1540860019016.0,2920,1540860023321.0,1385
/sdcard/taojianTest/pcm/sr/600/0249-02.pcm,1540860023322.0,1700,1540860026182.0,1160
/sdcard/taojianTest/pcm/sr/600/0249-04.pcm,1540860026189.0,1970,1540860029697.0,1538
/sdcard/taojianTest/pcm/sr/600/0250-01.pcm,1540860029705.0,2180,1540860032845.0,960
/sdcard/taojianTest/pcm/sr/600/0250-02.pcm,1540860032851.0,2350,1540860036610.0,1409
/sdcard/taojianTest/pcm/sr/600/0250-03.pcm,1540860036619.0,3100,1540860040782.0,1063
/sdcard/taojianTest/pcm/sr/600/0250-04.pcm,1540860040783.0,2580,1540860044433.0,1070
/sdcard/taojianTest/pcm/sr/600/0251-01.pcm,1540860044443.0,2270,1540860047707.0,994
/sdcard/taojianTest/pcm/sr/600/0251-02.pcm,1540860047716.0,2400,1540860051118.0,1002
/sdcard/taojianTest/pcm/sr/600/0251-03.pcm,1540860051123.0,2380,1540860054929.0,1426
/sdcard/taojianTest/pcm/sr/600/0251-04.pcm,1540860054934.0,1840,1540860057662.0,888
/sdcard/taojianTest/pcm/sr/600/0251-05.pcm,1540860057668.0,1780,1540860060748.0,1300
/sdcard/taojianTest/pcm/sr/600/0252-01.pcm,1540860060756.0,2320,1540860064350.0,1274
/sdcard/taojianTest/pcm/sr/600/0253-01.pcm,1540860064360.0,1700,1540860067448.0,1388
/sdcard/taojianTest/pcm/sr/600/0253-02.pcm,1540860067455.0,1320,1540860069737.0,962
/sdcard/taojianTest/pcm/sr/600/0339-02.pcm,1540860069738.0,1620,1540860072758.0,1400
/sdcard/taojianTest/pcm/sr/600/0342-01.pcm,1540860072763.0,1060,1540860074691.0,868
/sdcard/taojianTest/pcm/sr/600/0342-02.pcm,1540860074692.0,1820,1540860077344.0,832
/sdcard/taojianTest/pcm/sr/600/0009-02.pcm,1540860077350.0,1220,1540860079647.0,1077
/sdcard/taojianTest/pcm/sr/600/0025-03.pcm,1540860079649.0,1440,1540860082125.0,1036
/sdcard/taojianTest/pcm/sr/600/0046-03.pcm,1540860082131.0,1270,1540860085014.0,1613
/sdcard/taojianTest/pcm/sr/600/0065-04.pcm,1540860085024.0,1340,1540860087481.0,1117
/sdcard/taojianTest/pcm/sr/600/0067-04.pcm,1540860087490.0,1960,1540860090689.0,1239
/sdcard/taojianTest/pcm/sr/600/0079-02.pcm,1540860090701.0,1110,1540860093365.0,1554
/sdcard/taojianTest/pcm/sr/600/0087-04.pcm,1540860093368.0,1390,1540860096266.0,1508
/sdcard/taojianTest/pcm/sr/600/0104-04.pcm,1540860096273.0,1420,1540860098612.0,919
/sdcard/taojianTest/pcm/sr/600/0105-03.pcm,1540860098617.0,1260,1540860101330.0,1453
/sdcard/taojianTest/pcm/sr/600/0112-03.pcm,1540860101333.0,1480,1540860104432.0,1619
/sdcard/taojianTest/pcm/sr/600/0116-03.pcm,1540860104437.0,1300,1540860107150.0,1413
/sdcard/taojianTest/pcm/sr/600/0119-02.pcm,1540860107155.0,1570,1540860110421.0,1696
/sdcard/taojianTest/pcm/sr/600/0123-04.pcm,1540860110426.0,1510,1540860112833.0,897
/sdcard/taojianTest/pcm/sr/600/0136-03.pcm,1540860112841.0,1410,1540860115632.0,1381
/sdcard/taojianTest/pcm/sr/600/0139-05.pcm,1540860115632.0,1640,1540860118211.0,939
/sdcard/taojianTest/pcm/sr/600/0145-04.pcm,1540860118212.0,1420,1540860121089.0,1457
/sdcard/taojianTest/pcm/sr/600/0146-02.pcm,1540860121090.0,1500,1540860124170.0,1580
