strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/home/ubuntu/sdcard/test_pcm/sr/600/0259-03.pcm,1532413495781.0,3910,1532413500584.0,893
/home/ubuntu/sdcard/test_pcm/sr/600/0259-04.pcm,1532413500595.0,1980,1532413503244.0,669
/home/ubuntu/sdcard/test_pcm/sr/600/0339-01.pcm,1532413503249.0,1240,1532413505252.0,763
/home/ubuntu/sdcard/test_pcm/sr/600/0339-03.pcm,1532413505253.0,1160,1532413507050.0,637
/home/ubuntu/sdcard/test_pcm/sr/600/0340-01.pcm,1532413507057.0,1240,1532413508938.0,641
/home/ubuntu/sdcard/test_pcm/sr/600/0340-02.pcm,1532413508946.0,1640,1532413511190.0,604
/home/ubuntu/sdcard/test_pcm/sr/600/0340-03.pcm,1532413511200.0,2580,1532413514579.0,799
/home/ubuntu/sdcard/test_pcm/sr/600/0341-01.pcm,1532413514585.0,1100,1532413516361.0,676
/home/ubuntu/sdcard/test_pcm/sr/600/0341-02.pcm,1532413516369.0,1400,1532413519485.0,1716
/home/ubuntu/sdcard/test_pcm/sr/600/0341-03.pcm,1532413519495.0,1880,1532413522023.0,648
/home/ubuntu/sdcard/test_pcm/sr/600/0341-04.pcm,1532413522029.0,1120,1532413524300.0,1151
/home/ubuntu/sdcard/test_pcm/sr/600/0169-03.pcm,1532413524306.0,3290,1532413528383.0,787
/home/ubuntu/sdcard/test_pcm/sr/600/0248-01.pcm,1532413528390.0,1770,1532413530880.0,720
/home/ubuntu/sdcard/test_pcm/sr/600/0248-02.pcm,1532413530883.0,1160,1532413532693.0,650
/home/ubuntu/sdcard/test_pcm/sr/600/0248-03.pcm,1532413532697.0,2960,1532413536618.0,961
/home/ubuntu/sdcard/test_pcm/sr/600/0248-04.pcm,1532413536621.0,1900,1532413539326.0,805
/home/ubuntu/sdcard/test_pcm/sr/600/0249-01.pcm,1532413539334.0,2920,1532413543460.0,1206
/home/ubuntu/sdcard/test_pcm/sr/600/0249-02.pcm,1532413543462.0,1700,1532413545920.0,758
/home/ubuntu/sdcard/test_pcm/sr/600/0249-04.pcm,1532413545925.0,1970,1532413548692.0,797
/home/ubuntu/sdcard/test_pcm/sr/600/0250-01.pcm,1532413548702.0,2180,1532413551688.0,806
/home/ubuntu/sdcard/test_pcm/sr/600/0250-02.pcm,1532413551696.0,2350,1532413554900.0,854
/home/ubuntu/sdcard/test_pcm/sr/600/0250-03.pcm,1532413554901.0,3100,1532413558910.0,909
/home/ubuntu/sdcard/test_pcm/sr/600/0250-04.pcm,1532413558920.0,2580,1532413562385.0,885
/home/ubuntu/sdcard/test_pcm/sr/600/0251-01.pcm,1532413562395.0,2270,1532413565517.0,852
/home/ubuntu/sdcard/test_pcm/sr/600/0251-02.pcm,1532413565519.0,2400,1532413568645.0,726
/home/ubuntu/sdcard/test_pcm/sr/600/0251-03.pcm,1532413568652.0,2380,1532413571837.0,805
/home/ubuntu/sdcard/test_pcm/sr/600/0251-04.pcm,1532413571846.0,1840,1532413574418.0,732
/home/ubuntu/sdcard/test_pcm/sr/600/0251-05.pcm,1532413574419.0,1780,1532413576935.0,736
/home/ubuntu/sdcard/test_pcm/sr/600/0252-01.pcm,1532413576943.0,2320,1532413580033.0,770
/home/ubuntu/sdcard/test_pcm/sr/600/0253-01.pcm,1532413580037.0,1700,1532413582462.0,725
/home/ubuntu/sdcard/test_pcm/sr/600/0253-02.pcm,1532413583689.0,1320,1532413585654.0,645
/home/ubuntu/sdcard/test_pcm/sr/600/0339-02.pcm,1532413585664.0,1620,1532413587937.0,653
