strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/home/ubuntu/sdcard/test_pcm/sr/600/0259-03.pcm,1532412789232.0,3910,1532412794574.0,1432
/home/ubuntu/sdcard/test_pcm/sr/600/0259-04.pcm,1532412794581.0,1980,1532412797421.0,860
/home/ubuntu/sdcard/test_pcm/sr/600/0339-01.pcm,1532412797431.0,1240,1532412799585.0,914
/home/ubuntu/sdcard/test_pcm/sr/600/0339-03.pcm,1532412799616.0,1160,1532412805285.0,4509
/home/ubuntu/sdcard/test_pcm/sr/600/0340-01.pcm,1532412806754.0,1240,1532412809062.0,1068
/home/ubuntu/sdcard/test_pcm/sr/600/0340-02.pcm,1532412809068.0,1640,1532412811647.0,939
/home/ubuntu/sdcard/test_pcm/sr/600/0340-03.pcm,1532412811654.0,2580,1532412817330.0,3096
/home/ubuntu/sdcard/test_pcm/sr/600/0341-01.pcm,1532412818612.0,1100,1532412820438.0,726
/home/ubuntu/sdcard/test_pcm/sr/600/0341-02.pcm,1532412820447.0,1400,1532412822885.0,1038
/home/ubuntu/sdcard/test_pcm/sr/600/0341-03.pcm,1532412823939.0,1880,1532412826961.0,1142
/home/ubuntu/sdcard/test_pcm/sr/600/0341-04.pcm,1532412826969.0,1120,1532412829670.0,1581
/home/ubuntu/sdcard/test_pcm/sr/600/0169-03.pcm,1532412829673.0,3290,1532412833797.0,834
/home/ubuntu/sdcard/test_pcm/sr/600/0248-01.pcm,1532412833808.0,1770,1532412836435.0,857
/home/ubuntu/sdcard/test_pcm/sr/600/0248-02.pcm,1532412836444.0,1160,1532412839017.0,1413
/home/ubuntu/sdcard/test_pcm/sr/600/0248-03.pcm,1532412840319.0,2960,1532412844253.0,974
/home/ubuntu/sdcard/test_pcm/sr/600/0248-04.pcm,1532412844262.0,1900,1532412847057.0,895
/home/ubuntu/sdcard/test_pcm/sr/600/0249-01.pcm,1532412847061.0,2920,1532412850925.0,944
/home/ubuntu/sdcard/test_pcm/sr/600/0249-02.pcm,1532412850926.0,1700,1532412853430.0,804
/home/ubuntu/sdcard/test_pcm/sr/600/0249-04.pcm,1532412853440.0,1970,1532412856353.0,943
/home/ubuntu/sdcard/test_pcm/sr/600/0250-01.pcm,1532412856356.0,2180,1532412859598.0,1062
/home/ubuntu/sdcard/test_pcm/sr/600/0250-02.pcm,1532412859602.0,2350,1532412862815.0,863
/home/ubuntu/sdcard/test_pcm/sr/600/0250-03.pcm,1532412862817.0,3100,1532412867111.0,1194
/home/ubuntu/sdcard/test_pcm/sr/600/0250-04.pcm,1532412867113.0,2580,1532412870713.0,1020
/home/ubuntu/sdcard/test_pcm/sr/600/0251-01.pcm,1532412870718.0,2270,1532412873928.0,940
/home/ubuntu/sdcard/test_pcm/sr/600/0251-02.pcm,1532412873933.0,2400,1532412877137.0,804
/home/ubuntu/sdcard/test_pcm/sr/600/0251-03.pcm,1532412877147.0,2380,1532412880485.0,958
/home/ubuntu/sdcard/test_pcm/sr/600/0251-04.pcm,1532412880493.0,1840,1532412883163.0,830
/home/ubuntu/sdcard/test_pcm/sr/600/0251-05.pcm,1532412883170.0,1780,1532412885735.0,785
/home/ubuntu/sdcard/test_pcm/sr/600/0252-01.pcm,1532412885745.0,2320,1532412888871.0,806
/home/ubuntu/sdcard/test_pcm/sr/600/0253-01.pcm,1532412888879.0,1700,1532412891412.0,833
/home/ubuntu/sdcard/test_pcm/sr/600/0253-02.pcm,1532412891414.0,1320,1532412893595.0,861
/home/ubuntu/sdcard/test_pcm/sr/600/0339-02.pcm,1532412893603.0,1620,1532412896075.0,852
/home/ubuntu/sdcard/test_pcm/sr/600/0342-01.pcm,1532412896079.0,1060,1532412898073.0,934
/home/ubuntu/sdcard/test_pcm/sr/600/0342-02.pcm,1532412898077.0,1820,1532412900779.0,882
/home/ubuntu/sdcard/test_pcm/sr/600/0009-02.pcm,1532412900785.0,1220,1532412902903.0,898
/home/ubuntu/sdcard/test_pcm/sr/600/0025-03.pcm,1532412902913.0,1440,1532412905142.0,789
/home/ubuntu/sdcard/test_pcm/sr/600/0046-03.pcm,1532412905148.0,1270,1532412907251.0,833
/home/ubuntu/sdcard/test_pcm/sr/600/0065-04.pcm,1532412907256.0,1340,1532412909557.0,961
/home/ubuntu/sdcard/test_pcm/sr/600/0067-04.pcm,1532412909561.0,1960,1532412912292.0,771
