strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/home/ubuntu/sdcard/test_pcm/sr/600/0259-03.pcm,1532414124498.0,3910,1532414129835.0,1427
/home/ubuntu/sdcard/test_pcm/sr/600/0259-04.pcm,1532414129836.0,1980,1532414132721.0,905
/home/ubuntu/sdcard/test_pcm/sr/600/0339-01.pcm,1532414132722.0,1240,1532414136396.0,2434
/home/ubuntu/sdcard/test_pcm/sr/600/0339-03.pcm,1532414136403.0,1160,1532414138514.0,951
/home/ubuntu/sdcard/test_pcm/sr/600/0340-01.pcm,1532414138521.0,1240,1532414141700.0,1939
/home/ubuntu/sdcard/test_pcm/sr/600/0340-02.pcm,1532414141704.0,1640,1532414144314.0,970
/home/ubuntu/sdcard/test_pcm/sr/600/0340-03.pcm,1532414144321.0,2580,1532414148088.0,1187
/home/ubuntu/sdcard/test_pcm/sr/600/0341-01.pcm,1532414148091.0,1100,1532414150007.0,816
/home/ubuntu/sdcard/test_pcm/sr/600/0341-02.pcm,1532414150017.0,1400,1532414152903.0,1486
/home/ubuntu/sdcard/test_pcm/sr/600/0341-03.pcm,1532414152910.0,1880,1532414155987.0,1197
/home/ubuntu/sdcard/test_pcm/sr/600/0341-04.pcm,1532414155991.0,1120,1532414158103.0,992
/home/ubuntu/sdcard/test_pcm/sr/600/0169-03.pcm,1532414158104.0,3290,1532414162266.0,872
/home/ubuntu/sdcard/test_pcm/sr/600/0248-01.pcm,1532414162270.0,1770,1532414164926.0,886
/home/ubuntu/sdcard/test_pcm/sr/600/0248-02.pcm,1532414164931.0,1160,1532414167108.0,1017
/home/ubuntu/sdcard/test_pcm/sr/600/0248-03.pcm,1532414167109.0,2960,1532414171069.0,1000
/home/ubuntu/sdcard/test_pcm/sr/600/0248-04.pcm,1532414171074.0,1900,1532414173937.0,963
/home/ubuntu/sdcard/test_pcm/sr/600/0249-01.pcm,1532414173938.0,2920,1532414178133.0,1275
/home/ubuntu/sdcard/test_pcm/sr/600/0249-02.pcm,1532414178171.0,1700,1532414180818.0,947
/home/ubuntu/sdcard/test_pcm/sr/600/0249-04.pcm,1532414180821.0,1970,1532414184728.0,1937
/home/ubuntu/sdcard/test_pcm/sr/600/0250-01.pcm,1532414184737.0,2180,1532414188002.0,1085
/home/ubuntu/sdcard/test_pcm/sr/600/0250-02.pcm,1532414188010.0,2350,1532414191386.0,1026
/home/ubuntu/sdcard/test_pcm/sr/600/0250-03.pcm,1532414191395.0,3100,1532414195654.0,1159
/home/ubuntu/sdcard/test_pcm/sr/600/0250-04.pcm,1532414195662.0,2580,1532414199328.0,1086
/home/ubuntu/sdcard/test_pcm/sr/600/0251-01.pcm,1532414199329.0,2270,1532414202563.0,964
/home/ubuntu/sdcard/test_pcm/sr/600/0251-02.pcm,1532414202570.0,2400,1532414205788.0,818
/home/ubuntu/sdcard/test_pcm/sr/600/0251-03.pcm,1532414205794.0,2380,1532414209188.0,1014
/home/ubuntu/sdcard/test_pcm/sr/600/0251-04.pcm,1532414209191.0,1840,1532414211897.0,866
/home/ubuntu/sdcard/test_pcm/sr/600/0251-05.pcm,1532414211898.0,1780,1532414214523.0,845
/home/ubuntu/sdcard/test_pcm/sr/600/0252-01.pcm,1532414214532.0,2320,1532414217731.0,879
/home/ubuntu/sdcard/test_pcm/sr/600/0253-01.pcm,1532414217737.0,1700,1532414220342.0,905
/home/ubuntu/sdcard/test_pcm/sr/600/0253-02.pcm,1532414220344.0,1320,1532414222596.0,932
/home/ubuntu/sdcard/test_pcm/sr/600/0339-02.pcm,1532414222603.0,1620,1532414225127.0,904
/home/ubuntu/sdcard/test_pcm/sr/600/0342-01.pcm,1532414225133.0,1060,1532414227201.0,1008
/home/ubuntu/sdcard/test_pcm/sr/600/0342-02.pcm,1532414227201.0,1820,1532414229941.0,920
/home/ubuntu/sdcard/test_pcm/sr/600/0009-02.pcm,1532414229949.0,1220,1532414232094.0,925
/home/ubuntu/sdcard/test_pcm/sr/600/0025-03.pcm,1532414232103.0,1440,1532414234353.0,810
/home/ubuntu/sdcard/test_pcm/sr/600/0046-03.pcm,1532414234362.0,1270,1532414236478.0,846
/home/ubuntu/sdcard/test_pcm/sr/600/0065-04.pcm,1532414236482.0,1340,1532414238847.0,1025
/home/ubuntu/sdcard/test_pcm/sr/600/0067-04.pcm,1532414238848.0,1960,1532414241645.0,837
/home/ubuntu/sdcard/test_pcm/sr/600/0079-02.pcm,1532414241646.0,1110,1532414243699.0,943
/home/ubuntu/sdcard/test_pcm/sr/600/0087-04.pcm,1532414243709.0,1390,1532414246133.0,1034
/home/ubuntu/sdcard/test_pcm/sr/600/0104-04.pcm,1532414246140.0,1420,1532414248477.0,917
/home/ubuntu/sdcard/test_pcm/sr/600/0105-03.pcm,1532414248484.0,1260,1532414250654.0,910
/home/ubuntu/sdcard/test_pcm/sr/600/0112-03.pcm,1532414250654.0,1480,1532414253135.0,1001
/home/ubuntu/sdcard/test_pcm/sr/600/0116-03.pcm,1532414253144.0,1300,1532414255389.0,945
/home/ubuntu/sdcard/test_pcm/sr/600/0119-02.pcm,1532414255394.0,1570,1532414257990.0,1026
/home/ubuntu/sdcard/test_pcm/sr/600/0123-04.pcm,1532414257994.0,1510,1532414260307.0,803
/home/ubuntu/sdcard/test_pcm/sr/600/0136-03.pcm,1532414260309.0,1410,1532414262605.0,886
/home/ubuntu/sdcard/test_pcm/sr/600/0139-05.pcm,1532414262615.0,1640,1532414265162.0,907
/home/ubuntu/sdcard/test_pcm/sr/600/0145-04.pcm,1532414265172.0,1420,1532414267478.0,886
/home/ubuntu/sdcard/test_pcm/sr/600/0146-02.pcm,1532414267481.0,1500,1532414269887.0,906
/home/ubuntu/sdcard/test_pcm/sr/600/0149-03.pcm,1532414269888.0,1820,1532414272484.0,776
/home/ubuntu/sdcard/test_pcm/sr/600/0150-04.pcm,1532414272494.0,2040,1532414275524.0,990
/home/ubuntu/sdcard/test_pcm/sr/600/0168-02.pcm,1532414275525.0,1800,1532414278245.0,920
/home/ubuntu/sdcard/test_pcm/sr/600/0349-01.pcm,1532414278251.0,1700,1532414280910.0,959
/home/ubuntu/sdcard/test_pcm/sr/600/0349-02.pcm,1532414280919.0,1880,1532414283647.0,848
/home/ubuntu/sdcard/test_pcm/sr/600/0349-03.pcm,1532414283651.0,1880,1532414286399.0,868
