strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/sdcard/taojianTest/pcm/sr/600/0259-03.pcm,1321059923193.0,3910,1321059927987.0,884
/sdcard/taojianTest/pcm/sr/600/0259-04.pcm,1321059927988.0,1980,1321059930584.0,616
/sdcard/taojianTest/pcm/sr/600/0339-01.pcm,1321059930594.0,1240,1321059932564.0,730
/sdcard/taojianTest/pcm/sr/600/0339-03.pcm,1321059932570.0,1160,1321059934291.0,561
/sdcard/taojianTest/pcm/sr/600/0340-01.pcm,1321059934294.0,1240,1321059936128.0,594
/sdcard/taojianTest/pcm/sr/600/0340-02.pcm,1321059936131.0,1640,1321059938364.0,593
/sdcard/taojianTest/pcm/sr/600/0340-03.pcm,1321059938374.0,2580,1321059941668.0,714
/sdcard/taojianTest/pcm/sr/600/0341-01.pcm,1321059941670.0,1100,1321059943417.0,647
/sdcard/taojianTest/pcm/sr/600/0341-02.pcm,1321059943426.0,1400,1321059945415.0,589
/sdcard/taojianTest/pcm/sr/600/0341-03.pcm,1321059945424.0,1880,1321059947931.0,627
/sdcard/taojianTest/pcm/sr/600/0341-04.pcm,1321059947938.0,1120,1321059949826.0,768
/sdcard/taojianTest/pcm/sr/600/0169-03.pcm,1321059949835.0,3290,1321059953889.0,764
/sdcard/taojianTest/pcm/sr/600/0248-01.pcm,1321059953899.0,1770,1321059956341.0,672
/sdcard/taojianTest/pcm/sr/600/0248-02.pcm,1321059956346.0,1160,1321059958132.0,626
/sdcard/taojianTest/pcm/sr/600/0248-03.pcm,1321059958142.0,2960,1321059962024.0,922
/sdcard/taojianTest/pcm/sr/600/0248-04.pcm,1321059962029.0,1900,1321059964732.0,803
/sdcard/taojianTest/pcm/sr/600/0249-01.pcm,1321059964734.0,2920,1321059968829.0,1175
/sdcard/taojianTest/pcm/sr/600/0249-02.pcm,1321059968836.0,1700,1321059971262.0,726
/sdcard/taojianTest/pcm/sr/600/0249-04.pcm,1321059971272.0,1970,1321059974020.0,778
/sdcard/taojianTest/pcm/sr/600/0250-01.pcm,1321059974028.0,2180,1321059977013.0,805
/sdcard/taojianTest/pcm/sr/600/0250-02.pcm,1321059977023.0,2350,1321059980183.0,810
/sdcard/taojianTest/pcm/sr/600/0250-03.pcm,1321059980189.0,3100,1321059984304.0,1015
/sdcard/taojianTest/pcm/sr/600/0250-04.pcm,1321059984306.0,2580,1321059987741.0,855
/sdcard/taojianTest/pcm/sr/600/0251-01.pcm,1321059987750.0,2270,1321059990842.0,822
/sdcard/taojianTest/pcm/sr/600/0251-02.pcm,1321059990845.0,2400,1321059994106.0,861
/sdcard/taojianTest/pcm/sr/600/0251-03.pcm,1321059994116.0,2380,1321059997251.0,755
/sdcard/taojianTest/pcm/sr/600/0251-04.pcm,1321059997254.0,1840,1321059999775.0,681
/sdcard/taojianTest/pcm/sr/600/0251-05.pcm,1321059999780.0,1780,1321060002248.0,688
/sdcard/taojianTest/pcm/sr/600/0252-01.pcm,1321060002255.0,2320,1321060005331.0,756
/sdcard/taojianTest/pcm/sr/600/0253-01.pcm,1321060005339.0,1700,1321060007754.0,715
/sdcard/taojianTest/pcm/sr/600/0253-02.pcm,1321060007762.0,1320,1321060009695.0,613
/sdcard/taojianTest/pcm/sr/600/0339-02.pcm,1321060009706.0,1620,1321060011936.0,610
/sdcard/taojianTest/pcm/sr/600/0342-01.pcm,1321060011942.0,1060,1321060013760.0,758
/sdcard/taojianTest/pcm/sr/600/0342-02.pcm,1321060013768.0,1820,1321060016222.0,634
/sdcard/taojianTest/pcm/sr/600/0009-02.pcm,1321060016224.0,1220,1321060018083.0,639
/sdcard/taojianTest/pcm/sr/600/0025-03.pcm,1321060018094.0,1440,1321060020192.0,658
/sdcard/taojianTest/pcm/sr/600/0046-03.pcm,1321060020194.0,1270,1321060022077.0,613
/sdcard/taojianTest/pcm/sr/600/0065-04.pcm,1321060022080.0,1340,1321060024251.0,831
/sdcard/taojianTest/pcm/sr/600/0067-04.pcm,1321060024254.0,1960,1321060026955.0,741
/sdcard/taojianTest/pcm/sr/600/0079-02.pcm,1321060026958.0,1110,1321060028642.0,574
/sdcard/taojianTest/pcm/sr/600/0087-04.pcm,1321060028643.0,1390,1321060030754.0,721
/sdcard/taojianTest/pcm/sr/600/0104-04.pcm,1321060030758.0,1420,1321060032890.0,712
/sdcard/taojianTest/pcm/sr/600/0105-03.pcm,1321060032895.0,1260,1321060034771.0,616
/sdcard/taojianTest/pcm/sr/600/0112-03.pcm,1321060034781.0,1480,1321060036885.0,624
/sdcard/taojianTest/pcm/sr/600/0116-03.pcm,1321060036886.0,1300,1321060038836.0,650
/sdcard/taojianTest/pcm/sr/600/0119-02.pcm,1321060038842.0,1570,1321060041100.0,688
/sdcard/taojianTest/pcm/sr/600/0123-04.pcm,1321060041106.0,1510,1321060043310.0,694
/sdcard/taojianTest/pcm/sr/600/0136-03.pcm,1321060043313.0,1410,1321060045436.0,713
/sdcard/taojianTest/pcm/sr/600/0139-05.pcm,1321060045436.0,1640,1321060047714.0,638
/sdcard/taojianTest/pcm/sr/600/0145-04.pcm,1321060047721.0,1420,1321060049703.0,562
/sdcard/taojianTest/pcm/sr/600/0146-02.pcm,1321060049705.0,1500,1321060051860.0,655
/sdcard/taojianTest/pcm/sr/600/0149-03.pcm,1321060051869.0,1820,1321060054333.0,644
