strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/sdcard/taojianTest/pcm/sr/600/0259-03.pcm,1321059262375.0,3910,1321059267222.0,937
/sdcard/taojianTest/pcm/sr/600/0259-04.pcm,1321059267230.0,1980,1321059269878.0,668
/sdcard/taojianTest/pcm/sr/600/0339-01.pcm,1321059269885.0,1240,1321059271917.0,792
/sdcard/taojianTest/pcm/sr/600/0339-03.pcm,1321059271919.0,1160,1321059273691.0,612
/sdcard/taojianTest/pcm/sr/600/0340-01.pcm,1321059273693.0,1240,1321059275607.0,674
/sdcard/taojianTest/pcm/sr/600/0340-02.pcm,1321059275608.0,1640,1321059277988.0,740
/sdcard/taojianTest/pcm/sr/600/0340-03.pcm,1321059277994.0,2580,1321059281330.0,756
/sdcard/taojianTest/pcm/sr/600/0341-01.pcm,1321059281339.0,1100,1321059283068.0,629
/sdcard/taojianTest/pcm/sr/600/0341-02.pcm,1321059283073.0,1400,1321059285275.0,802
/sdcard/taojianTest/pcm/sr/600/0341-03.pcm,1321059285281.0,1880,1321059288191.0,1030
/sdcard/taojianTest/pcm/sr/600/0341-04.pcm,1321059288204.0,1120,1321059290098.0,774
/sdcard/taojianTest/pcm/sr/600/0169-03.pcm,1321059290102.0,3290,1321059294115.0,723
/sdcard/taojianTest/pcm/sr/600/0248-01.pcm,1321059294119.0,1770,1321059296586.0,697
/sdcard/taojianTest/pcm/sr/600/0248-02.pcm,1321059296593.0,1160,1321059298442.0,689
/sdcard/taojianTest/pcm/sr/600/0248-03.pcm,1321059298450.0,2960,1321059302278.0,868
/sdcard/taojianTest/pcm/sr/600/0248-04.pcm,1321059302283.0,1900,1321059304990.0,807
/sdcard/taojianTest/pcm/sr/600/0249-01.pcm,1321059304999.0,2920,1321059308701.0,782
/sdcard/taojianTest/pcm/sr/600/0249-02.pcm,1321059308703.0,1700,1321059311150.0,747
/sdcard/taojianTest/pcm/sr/600/0249-04.pcm,1321059311158.0,1970,1321059313907.0,779
/sdcard/taojianTest/pcm/sr/600/0250-01.pcm,1321059313912.0,2180,1321059316898.0,806
/sdcard/taojianTest/pcm/sr/600/0250-02.pcm,1321059316907.0,2350,1321059320027.0,770
/sdcard/taojianTest/pcm/sr/600/0250-03.pcm,1321059320031.0,3100,1321059324056.0,925
/sdcard/taojianTest/pcm/sr/600/0250-04.pcm,1321059324065.0,2580,1321059327507.0,862
/sdcard/taojianTest/pcm/sr/600/0251-01.pcm,1321059327510.0,2270,1321059330571.0,791
/sdcard/taojianTest/pcm/sr/600/0251-02.pcm,1321059330574.0,2400,1321059333698.0,724
/sdcard/taojianTest/pcm/sr/600/0251-03.pcm,1321059333708.0,2380,1321059336870.0,782
/sdcard/taojianTest/pcm/sr/600/0251-04.pcm,1321059336874.0,1840,1321059339416.0,702
