strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms)
/sdcard/taojianTest/pcm/sr/600/0259-03.pcm,1321060592290.0,3910,1321060597145.0,945
/sdcard/taojianTest/pcm/sr/600/0259-04.pcm,1321060597152.0,1980,1321060599857.0,725
/sdcard/taojianTest/pcm/sr/600/0339-01.pcm,1321060599867.0,1240,1321060601972.0,865
/sdcard/taojianTest/pcm/sr/600/0339-03.pcm,1321060601974.0,1160,1321060603807.0,673
/sdcard/taojianTest/pcm/sr/600/0340-01.pcm,1321060603808.0,1240,1321060605810.0,762
/sdcard/taojianTest/pcm/sr/600/0340-02.pcm,1321060605817.0,1640,1321060608263.0,806
/sdcard/taojianTest/pcm/sr/600/0340-03.pcm,1321060608264.0,2580,1321060611619.0,775
/sdcard/taojianTest/pcm/sr/600/0341-01.pcm,1321060611622.0,1100,1321060613395.0,673
/sdcard/taojianTest/pcm/sr/600/0341-02.pcm,1321060613397.0,1400,1321060615624.0,827
/sdcard/taojianTest/pcm/sr/600/0341-03.pcm,1321060615629.0,1880,1321060618579.0,1070
/sdcard/taojianTest/pcm/sr/600/0341-04.pcm,1321060618585.0,1120,1321060620545.0,840
/sdcard/taojianTest/pcm/sr/600/0169-03.pcm,1321060620545.0,3290,1321060624638.0,803
/sdcard/taojianTest/pcm/sr/600/0248-01.pcm,1321060624640.0,1770,1321060627163.0,753
/sdcard/taojianTest/pcm/sr/600/0248-02.pcm,1321060627165.0,1160,1321060629060.0,735
/sdcard/taojianTest/pcm/sr/600/0248-03.pcm,1321060629063.0,2960,1321060633041.0,1018
/sdcard/taojianTest/pcm/sr/600/0248-04.pcm,1321060633044.0,1900,1321060635801.0,857
/sdcard/taojianTest/pcm/sr/600/0249-01.pcm,1321060635811.0,2920,1321060639976.0,1245
/sdcard/taojianTest/pcm/sr/600/0249-02.pcm,1321060639980.0,1700,1321060642504.0,824
/sdcard/taojianTest/pcm/sr/600/0249-04.pcm,1321060642511.0,1970,1321060645296.0,815
/sdcard/taojianTest/pcm/sr/600/0250-01.pcm,1321060645301.0,2180,1321060648313.0,832
/sdcard/taojianTest/pcm/sr/600/0250-02.pcm,1321060648318.0,2350,1321060651573.0,905
/sdcard/taojianTest/pcm/sr/600/0250-03.pcm,1321060651575.0,3100,1321060655741.0,1066
/sdcard/taojianTest/pcm/sr/600/0250-04.pcm,1321060655750.0,2580,1321060659259.0,929
/sdcard/taojianTest/pcm/sr/600/0251-01.pcm,1321060659265.0,2270,1321060662392.0,857
/sdcard/taojianTest/pcm/sr/600/0251-02.pcm,1321060662393.0,2400,1321060665532.0,739
/sdcard/taojianTest/pcm/sr/600/0251-03.pcm,1321060665537.0,2380,1321060668750.0,833
